stock ,bond ,mm
20.2553,262.935,100
25.686,268.73,102.33
23.4297,284.09,105.33
28.7463,289.162,108.89
33.4484,299.894,113.08
37.5813,302.695,117.97
33.7839,318.695,124.34
41.8725,309.103,129.94
46.4795,316.051,137.77
42.5448,298.249,150.12
44.2212,354.671,157.48
50.5451,394.532,164
60.1461,403.942,172.74
51.3114,417.252,189.93
37.7306,433.927,206.13
51.7772,457.885,216.85
64.1659,529.141,226.93
59.5739,531.144,241.82
63.4884,524.435,266.07
75.3032,531.04,302.74
99.7795,517.86,359.96
94.8671,538.769,404.48
115.308,777.332,440.68
141.316,787.357,482.42
150.181,907.712,522.84
197.829,1200.63,566.08
234.755,1469.45,605.2
247.08,1424.91,646.17
288.116,1522.4,702.77
379.409,1804.63,762.16
367.636,1944.25,817.87
479.633,2320.64,854.1
516.178,2490.97,879.04
568.202,2816.4,905.06
575.705,2610.12,954.39
792.042,3287.27,1007.84
973.897,3291.58,1061.15
1298.82,3687.33,1119.51
1670.01,4220.24,1171.91
2021.4,3903.32,1234.02
1837.36,4575.33,1313
1618.98,4827.26,1336.89
1261.18,5558.4,1353.47
1622.94,5588.19,1366.73
