Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,3016.55,3025.00,2985.00,2999.95,3014.359711021505376344,119040,11077,358829380.00,87171,73.23,40.00,-16.60
20-February-2024,3000.00,3017.95,2975.00,3012.35,3003.741087019290261374,72731,4710,218465093.00,61794,84.96,42.95,12.35
19-February-2024,3014.85,3015.00,2988.05,2997.75,3002.745430809399477806,13788,1945,41401854.00,6749,48.95,26.95,-17.10
16-February-2024,3038.75,3038.75,3000.00,3007.70,3019.841834828101644245,53520,6772,161621935.00,31495,58.85,38.75,-31.05
15-February-2024,2982.00,3024.00,2968.50,3015.70,2989.904614572840216817,41694,3275,124661083.00,22744,54.55,55.50,33.70
14-February-2024,2969.00,2981.90,2935.60,2976.35,2955.244291776116387148,9898,1665,29251008.00,4315,43.59,46.30,7.35
13-February-2024,2960.05,2980.85,2945.60,2970.95,2965.369011579505032922,52852,6380,156725683.00,30853,58.38,35.25,10.90
12-February-2024,2971.85,2971.85,2920.00,2956.60,2944.683175604626708727,95100,9111,280039370.00,65380,68.75,51.85,-15.25
9-February-2024,2933.15,2958.65,2910.00,2952.15,2939.646373274991585324,71304,12071,209608545.00,29733,41.70,48.65,19.00
8-February-2024,3009.90,3009.90,2920.40,2929.95,2940.425813960297476137,136616,16748,401709213.00,96766,70.83,89.50,-79.95
7-February-2024,2952.05,3000.00,2936.70,2981.60,2967.790198199628809908,100757,11893,299025637.00,50534,50.15,63.30,29.55
6-February-2024,2949.85,2949.85,2904.15,2934.60,2925.499032527445668778,49097,3656,143633226.00,35298,71.89,45.70,-15.25
5-February-2024,2964.40,2964.40,2913.00,2917.15,2942.096763503810891417,27159,3477,79904406.00,14315,52.71,51.40,-47.25
2-February-2024,2952.90,2961.75,2925.00,2935.10,2942.107366961345120471,57690,10327,169730174.00,17614,30.53,36.75,-17.80
1-February-2024,2960.00,2971.80,2921.50,2928.60,2939.935950055631103968,80890,15070,237811419.00,49832,61.60,50.30,-31.40
31-January-2024,2969.95,2970.05,2948.35,2958.00,2956.138068623779205439,69422,10941,205221017.00,41477,59.75,21.70,-11.95
30-January-2024,2995.80,3005.00,2951.15,2954.85,2973.072198386819975973,58270,10415,173240917.00,35125,60.28,53.85,-40.95
29-January-2024,2948.70,2987.65,2945.00,2976.45,2967.464729609585240257,335182,3708,994640763.00,316906,94.55,42.65,27.75
25-January-2024,3019.95,3019.95,2943.50,2949.55,2966.671937951475782262,112686,23386,334302394.00,73996,65.67,76.45,-70.40
24-January-2024,3058.00,3058.00,2975.85,2999.55,2997.310595113305314255,604826,25858,1812851378.00,513163,84.84,82.15,-58.45
23-January-2024,3099.90,3106.60,3022.60,3058.00,3065.967191341453075988,106161,19030,325486143.00,53098,50.02,84.00,-41.90
20-January-2024,3167.10,3184.00,3132.00,3140.35,3157.410227960459955618,9914,1194,31302565.00,4208,42.44,52.00,-26.75
19-January-2024,3170.50,3200.30,3150.00,3165.60,3171.110046968066962294,38111,6940,120854175.00,11094,29.11,50.30,-4.90
18-January-2024,3243.75,3255.00,3070.55,3163.65,3141.743315906004056040,107494,16789,337718556.00,44743,41.62,184.45,-80.10
17-January-2024,3295.00,3302.00,3194.00,3242.30,3257.951130641265335644,73277,10256,238732885.00,33123,45.20,108.00,-52.70
16-January-2024,3270.15,3319.00,3270.15,3297.50,3299.935065963478563849,63141,8056,208361200.00,43440,68.80,48.85,27.35
15-January-2024,3278.85,3289.95,3257.60,3274.05,3266.397300124207360920,61188,6743,199864318.00,45035,73.60,32.35,-4.80
12-January-2024,3273.05,3291.55,3244.25,3278.00,3268.522913416536661466,30768,6277,100565913.00,10055,32.68,47.30,4.95
11-January-2024,3286.55,3308.00,3271.15,3287.85,3282.787644787644787644,33929,3111,111381702.00,27101,79.88,36.85,1.30
10-January-2024,3299.95,3299.95,3259.30,3286.55,3287.276188971401485226,82277,1897,270467223.00,73684,89.56,40.65,-13.40
9-January-2024,3306.55,3312.50,3262.35,3266.85,3287.843614432335202624,37804,2364,124293640.00,25659,67.87,50.15,-39.70
8-January-2024,3358.40,3376.30,3292.80,3296.45,3322.988629482607818071,14863,1923,49389580.00,6534,43.96,83.50,-61.95
5-January-2024,3380.30,3380.30,3342.40,3355.50,3365.479976661539277568,18853,3533,63449394.00,6383,33.86,37.90,-24.80
4-January-2024,3373.60,3400.35,3365.00,3379.35,3383.235207913537277889,16377,2213,55407243.00,6815,41.61,35.35,5.75
3-January-2024,3388.00,3400.85,3368.50,3371.60,3384.534400000000000000,10625,1435,35960678.00,4099,38.58,32.35,-16.40
2-January-2024,3395.00,3398.30,3345.00,3390.55,3372.809321313148494641,11758,1380,39657492.00,4728,40.21,53.30,-4.45
1-January-2024,3386.30,3408.40,3386.30,3394.55,3396.380570409982174688,13464,1454,45728868.00,5242,38.93,22.10,8.25
