Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1093.00,1093.00,1073.20,1084.15,1082.347573735539147944,75981,3676,82237851.00,25954,34.16,19.80,-8.85
20-February-2024,1055.60,1090.00,1055.60,1088.30,1079.624161788752123823,187751,7468,202700516.00,102687,54.69,34.40,32.70
19-February-2024,1071.35,1071.35,1060.25,1063.60,1064.173627443029762387,147972,5776,157467900.00,58662,39.64,11.10,-7.75
16-February-2024,1072.00,1076.15,1058.00,1069.25,1066.998688902015262137,793991,15791,847187356.00,280545,35.33,18.15,-2.75
15-February-2024,1099.85,1099.85,1068.95,1072.60,1076.922092003951250466,1222904,11599,1316972334.00,1099341,89.90,30.90,-27.25
14-February-2024,1059.15,1100.00,1059.15,1095.75,1083.383559716255700959,241626,8723,261773636.00,125132,51.79,40.85,36.60
13-February-2024,1052.20,1075.00,1045.00,1070.90,1064.423663847140366298,138794,7118,147735618.00,67689,48.77,30.00,18.70
12-February-2024,1054.80,1057.45,1035.45,1046.85,1047.095221635461673867,156225,6216,163582451.00,42217,27.02,22.00,-7.95
9-February-2024,1040.55,1054.95,1034.80,1051.05,1047.620215205265551637,740967,17995,776252008.00,87421,11.80,20.15,10.50
8-February-2024,1094.95,1094.95,1032.00,1036.65,1045.657289863885120913,106895,5080,111775536.00,54287,50.79,62.95,-58.30
7-February-2024,1055.95,1073.35,1055.95,1069.00,1067.888417356319810837,113342,4692,121036609.00,56915,50.22,17.40,13.05
6-February-2024,1058.65,1065.00,1048.20,1050.45,1055.302619351213503058,92542,4514,97659815.00,41100,44.41,16.80,-8.20
5-February-2024,1065.30,1079.10,1055.00,1062.55,1066.269549044252802580,275282,10329,293524814.00,54872,19.93,24.10,-2.75
2-February-2024,1085.30,1096.30,1065.00,1068.75,1077.930242686596429837,530396,17574,571729889.00,55897,10.54,31.30,-16.55
1-February-2024,1070.00,1087.95,1057.35,1084.15,1070.931911909103661102,71290,3032,76346736.00,14243,19.98,30.60,14.15
31-January-2024,1049.90,1083.85,1043.00,1067.45,1066.989670126745194594,178705,4291,190676389.00,61324,34.32,40.85,17.55
30-January-2024,1061.90,1070.35,1051.00,1053.85,1058.885583847131359721,106235,5785,112490710.00,39991,37.64,19.35,-8.05
29-January-2024,1039.90,1067.85,1039.90,1061.50,1058.293681969077755293,226827,8243,240049581.00,50555,22.29,27.95,21.60
25-January-2024,1059.30,1064.25,1025.45,1043.10,1045.591131707830849439,930461,15788,972881770.00,437638,47.03,38.80,-16.20
24-January-2024,1040.10,1073.00,1020.85,1058.75,1049.282562966696287650,376985,12121,395563787.00,69803,18.52,52.15,18.65
23-January-2024,1130.25,1141.80,1079.05,1088.90,1107.643495067981871500,150040,6147,166190830.00,38169,25.44,62.75,-41.35
20-January-2024,1124.90,1126.00,1102.50,1120.75,1117.714079028509084009,421620,13659,471250610.00,28730,6.81,23.50,-4.15
19-January-2024,1105.00,1126.10,1105.00,1116.00,1116.605023530931462426,518679,22029,579159577.00,75034,14.47,21.10,11.00
18-January-2024,1064.70,1108.00,1064.70,1097.45,1095.310696796271166440,271184,11914,297030736.00,84513,31.16,43.30,32.75
17-January-2024,1099.75,1115.00,1077.80,1083.45,1096.989697650622956082,299058,10724,328063545.00,121934,40.77,37.20,-16.30
16-January-2024,1115.45,1128.00,1115.45,1119.00,1121.807528417914156158,80495,4050,90299897.00,31140,38.69,12.55,3.55
15-January-2024,1123.00,1130.00,1116.85,1119.75,1120.317088339015788934,410034,15705,459368097.00,62162,15.16,13.15,-3.25
12-January-2024,1125.40,1128.10,1117.80,1120.95,1122.349436652375020140,508922,16369,571188320.00,67307,13.23,10.30,-4.45
11-January-2024,1112.95,1127.65,1112.95,1125.25,1121.809617670984293848,95886,4386,107565837.00,55754,58.15,14.70,12.30
10-January-2024,1116.10,1116.10,1099.05,1107.35,1106.260765994830295146,59191,3083,65480681.00,20094,33.95,17.05,-8.75
9-January-2024,1128.15,1135.35,1112.75,1115.45,1126.995900111815132314,96588,5192,108854280.00,43565,45.10,22.60,-12.70
8-January-2024,1143.80,1145.15,1118.10,1121.90,1125.124252026080068246,492330,16874,553932423.00,64547,13.11,27.05,-21.90
5-January-2024,1124.40,1139.80,1119.05,1137.10,1132.711853614321323362,441300,17731,499865741.00,108956,24.69,20.75,12.70
4-January-2024,1101.00,1129.80,1100.50,1124.05,1119.522660655785963303,237791,9002,266212413.00,123884,52.10,29.30,23.05
3-January-2024,1088.85,1102.10,1081.30,1099.55,1092.743594383869459651,66309,2778,72458735.00,21460,32.36,20.80,10.70
2-January-2024,1093.20,1099.00,1082.80,1092.85,1090.094818383379410396,109599,5303,119473302.00,36098,32.94,16.20,-0.35
1-January-2024,1092.05,1103.70,1092.05,1098.05,1098.993586247475843356,511557,17520,562197862.00,87234,17.05,11.65,6.00
