Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,6824.45,6824.45,6667.30,6687.85,6721.431916971449361392,52223,7860,351013339.00,32305,61.86,157.15,-136.60
20-February-2024,6724.90,6791.00,6681.00,6768.65,6758.010912259151871795,70013,8852,473148618.00,47480,67.82,110.00,43.75
19-February-2024,6641.00,6805.95,6630.00,6714.60,6732.953179964969605981,67941,11214,457443572.00,24859,36.59,175.95,73.60
16-February-2024,6698.45,6698.45,6601.60,6621.25,6621.894392721826696321,89473,12347,592480757.00,66025,73.79,96.85,-77.20
15-February-2024,6645.70,6675.00,6586.00,6619.90,6616.615857434462512327,43601,5436,288491068.00,35379,81.14,89.00,-25.80
14-February-2024,6599.90,6655.00,6548.00,6645.70,6611.237861859866262408,24077,3646,159178774.00,12336,51.24,107.00,45.80
13-February-2024,6600.00,6639.35,6555.00,6603.05,6606.836238774432118330,32181,6735,212614597.00,16012,49.76,84.35,3.05
12-February-2024,6654.95,6670.35,6551.00,6575.60,6587.943878322813097350,72717,12404,479055515.00,45197,62.15,119.35,-79.35
9-February-2024,6597.35,6675.00,6573.50,6654.80,6644.016309396827581460,58126,12039,386190092.00,16419,28.25,101.50,57.45
8-February-2024,6717.75,6740.00,6540.00,6577.90,6598.782375987781393186,150590,28427,993710638.00,116111,77.10,200.00,-139.85
7-February-2024,6637.05,6733.25,6627.00,6717.70,6697.754838516835796804,66911,11102,448153474.00,35369,52.86,106.25,80.65
6-February-2024,6669.95,6697.00,6535.15,6601.80,6608.101382688223310649,46142,7125,304911014.00,28097,60.89,161.85,-68.15
5-February-2024,6894.75,6894.75,6591.10,6605.90,6717.070380888935638067,85563,27187,574732693.00,42886,50.12,303.65,-288.85
2-February-2024,6744.05,6909.95,6744.05,6847.70,6843.812187676037142701,110062,22564,753243657.00,50640,46.01,165.90,103.65
1-February-2024,6870.00,6879.95,6735.00,6743.80,6785.926984649574056545,121495,21679,824456199.00,70583,58.10,144.95,-126.20
31-January-2024,6827.00,6920.20,6815.60,6863.80,6879.475518719852997473,52244,6300,359411319.00,30418,58.22,104.60,36.80
30-January-2024,6993.00,6993.00,6806.00,6815.60,6861.650201167469010907,257994,19895,1770264582.00,183867,71.27,187.00,-177.40
29-January-2024,7099.90,7224.85,7090.65,7187.50,7168.910065139735238495,19036,3298,136467372.00,6899,36.24,134.20,87.60
25-January-2024,7055.00,7125.00,7039.00,7085.15,7077.362322486861232248,71544,10097,506342810.00,18668,26.09,86.00,30.15
24-January-2024,7095.15,7108.75,7000.00,7058.80,7049.210880573051747560,48582,9432,342464763.00,20164,41.50,108.75,-36.35
23-January-2024,7340.10,7350.00,7050.00,7070.70,7199.634191005307427294,96657,17931,695895042.00,52277,54.08,300.00,-269.40
20-January-2024,7300.10,7386.00,7291.30,7301.35,7331.484120596793165356,16153,3053,118425463.00,8957,55.45,94.70,1.25
19-January-2024,7350.00,7386.00,7259.65,7320.35,7305.494842707529053077,50511,9761,369007850.00,17978,35.59,126.35,-29.65
18-January-2024,7331.45,7346.30,7232.95,7265.20,7279.236658897827231035,66505,8039,484105634.00,40607,61.06,113.35,-66.25
17-January-2024,7300.00,7475.00,7300.00,7357.15,7387.524253926976071136,47683,8370,352259319.00,27050,56.73,175.00,57.15
16-January-2024,7475.00,7613.75,7430.00,7472.70,7496.439633141465045737,41869,5542,313868431.00,17591,42.01,183.75,-2.30
15-January-2024,7662.10,7690.00,7455.15,7476.50,7526.673595708464434930,38774,10665,291839242.00,21443,55.30,234.85,-185.60
12-January-2024,7675.85,7717.80,7615.00,7655.35,7657.097964776068278480,35033,7543,268251113.00,11088,31.65,102.80,-20.50
11-January-2024,7684.65,7792.45,7651.60,7670.70,7717.072854350530119054,16883,2688,130287341.00,9250,54.79,140.85,-13.95
10-January-2024,7719.90,7732.50,7660.00,7678.20,7691.208759124087591240,23975,4122,184396730.00,17509,73.03,72.50,-41.70
9-January-2024,7829.95,7829.95,7699.05,7721.25,7756.946784922394678492,136202,5668,1056511666.00,123389,90.59,130.90,-108.70
8-January-2024,7676.80,7829.80,7632.30,7734.05,7740.570284697508896797,19108,3327,147906817.00,5865,30.69,197.50,57.25
5-January-2024,7727.10,7788.00,7675.00,7710.55,7707.088361246684431095,327621,14377,2525003996.00,217076,66.26,113.00,-16.55
4-January-2024,7545.10,7732.00,7545.10,7704.25,7664.206655913624543270,60758,8108,465661868.00,16896,27.81,186.90,159.15
3-January-2024,7431.10,7485.20,7365.45,7382.15,7421.672731550466630068,38253,6586,283901247.00,16234,42.44,119.75,-48.95
2-January-2024,7300.15,7445.00,7282.65,7431.80,7375.436709946805468169,17483,2852,128944760.00,7290,41.70,162.35,131.65
1-January-2024,7327.80,7334.00,7274.30,7298.45,7303.702871536523929471,9925,1669,72489251.00,3476,35.02,59.70,-29.35
