Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1603.30,1618.00,1584.00,1586.45,1600.830660860655737704,39040,3612,62496429.00,19436,49.78,34.00,-16.85
20-February-2024,1620.10,1620.10,1597.50,1603.50,1608.018559809063216405,31843,3273,51204135.00,14520,45.60,22.60,-16.60
19-February-2024,1579.75,1625.05,1571.65,1620.15,1605.844240837696335078,28268,1933,45394005.00,11690,41.35,53.40,40.40
16-February-2024,1571.05,1582.65,1567.20,1575.55,1573.187064513484711861,85393,6922,134339163.00,57351,67.16,15.45,4.50
15-February-2024,1588.00,1589.95,1564.75,1569.45,1571.460622183062794401,59018,6127,92744463.00,43848,74.30,25.20,-18.55
14-February-2024,1565.00,1582.00,1555.10,1579.25,1570.569083901073973396,262297,3870,411955559.00,242178,92.33,26.90,14.25
13-February-2024,1558.05,1585.50,1552.05,1568.20,1573.604557165116243192,64821,5890,102002621.00,44716,68.98,33.45,10.15
12-February-2024,1575.10,1580.10,1552.00,1557.35,1560.694309262166405023,76440,4264,119299473.00,53381,69.83,28.10,-17.75
9-February-2024,1575.75,1593.40,1563.65,1571.15,1570.609775946433170229,97075,11429,152466944.00,43182,44.48,29.75,-4.60
8-February-2024,1597.05,1607.25,1565.25,1570.70,1585.074486827976606236,95923,6519,152045100.00,65127,67.90,42.00,-26.35
7-February-2024,1610.00,1623.20,1590.00,1596.90,1604.044030637056248986,49352,4096,79162781.00,22868,46.34,33.20,-13.10
6-February-2024,1628.85,1628.85,1579.60,1597.10,1600.267566747572815533,32960,2963,52744819.00,12783,38.78,49.25,-31.75
5-February-2024,1641.20,1660.00,1608.30,1614.50,1631.242229733118035845,99707,8369,162646269.00,52974,53.13,51.70,-26.70
2-February-2024,1630.45,1663.55,1629.60,1652.15,1651.399456593770709078,75450,9364,124598089.00,23672,31.37,33.95,21.70
1-February-2024,1630.90,1630.90,1613.75,1621.75,1621.709076702695663497,15358,1365,24906208.00,7627,49.66,17.15,-9.15
31-January-2024,1592.05,1632.00,1585.10,1627.15,1612.665960174791323233,76434,6511,123262510.00,42048,55.01,46.90,35.10
30-January-2024,1625.10,1626.35,1585.10,1590.95,1601.737177176255819839,130373,11831,208823281.00,43235,33.16,41.25,-34.15
29-January-2024,1632.05,1640.05,1618.45,1637.00,1630.960604919884122489,61099,5474,99650062.00,34734,56.85,21.60,4.95
25-January-2024,1613.35,1632.85,1613.35,1630.20,1624.117301173941798941,96768,6087,157162583.00,49461,51.11,19.50,16.85
24-January-2024,1587.30,1622.25,1577.80,1620.65,1609.269222406436006849,73586,6491,118419685.00,43104,58.58,44.45,33.35
23-January-2024,1583.15,1615.00,1575.90,1584.00,1592.968082455544229244,44145,3854,70321576.00,16128,36.53,39.10,0.85
20-January-2024,1603.90,1610.00,1577.25,1579.70,1591.375886146793880923,18761,1223,29855803.00,8089,43.12,32.75,-24.20
19-January-2024,1581.95,1605.00,1581.95,1600.40,1595.907909525147513346,42708,5956,68158035.00,8803,20.61,23.05,18.45
18-January-2024,1583.15,1604.00,1558.70,1581.10,1575.542669729963706589,30033,3439,47318273.00,9231,30.74,45.30,-2.05
17-January-2024,1615.20,1622.55,1578.10,1584.95,1594.769045610483099938,88905,11032,141782942.00,43571,49.01,44.45,-30.25
16-January-2024,1632.30,1645.00,1621.20,1623.65,1633.143831214195892133,35785,2230,58442052.00,16199,45.27,23.80,-8.65
15-January-2024,1655.00,1664.20,1630.00,1632.35,1637.944825680467922442,65139,3745,106694088.00,41796,64.16,34.20,-22.65
12-January-2024,1679.20,1679.20,1642.05,1651.65,1652.709710853619644945,75256,9211,124376322.00,29278,38.90,37.15,-27.55
11-January-2024,1682.15,1701.30,1660.10,1669.25,1681.981887928522870739,41188,3535,69277470.00,18712,45.43,41.20,-12.90
10-January-2024,1683.25,1684.25,1659.60,1671.95,1669.859870203515846512,15871,1312,26502346.00,5759,36.29,24.65,-11.30
9-January-2024,1708.35,1714.30,1675.00,1681.85,1696.280178814014469402,63306,5426,107384713.00,34985,55.26,39.30,-26.50
8-January-2024,1710.20,1723.00,1691.90,1696.70,1704.296822670674109059,23290,1951,39693073.00,8811,37.83,31.10,-13.50
5-January-2024,1700.15,1717.00,1698.05,1709.25,1708.661318027210884353,117600,11745,200938571.00,10939,9.30,18.95,9.10
4-January-2024,1691.10,1724.00,1691.10,1701.50,1704.797656728421021566,135537,7245,231063160.00,99339,73.29,32.90,10.40
3-January-2024,1678.00,1708.00,1675.25,1677.20,1691.881734535511048702,54124,3710,91571407.00,28502,52.66,32.75,-0.80
2-January-2024,1678.90,1689.00,1664.60,1686.60,1678.388970628303634679,18351,1724,30800116.00,9498,51.76,24.40,7.70
1-January-2024,1685.00,1691.70,1671.00,1674.25,1679.181052381799845761,16857,1194,28305955.00,5342,31.69,20.70,-10.75
