Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1153.40,1159.05,1132.60,1139.75,1155.568764330551796722,2553984,7106,2951304135.00,2425823,94.98,26.45,-13.65
20-February-2024,1143.05,1151.25,1135.35,1144.15,1144.827724020831988720,201421,4085,230592345.00,142682,70.84,15.90,1.10
19-February-2024,1118.60,1144.60,1118.55,1142.20,1136.811768255884127942,397680,2343,452087304.00,363660,91.45,26.05,23.60
16-February-2024,1122.60,1126.90,1117.00,1119.85,1121.627480485639945295,262499,9751,294426092.00,137430,52.35,9.90,-2.75
15-February-2024,1121.30,1131.10,1110.00,1121.15,1121.209576138147566718,22932,1471,25711578.00,6923,30.19,21.10,-0.15
14-February-2024,1108.55,1120.70,1104.55,1115.70,1111.019347576276353744,127923,2749,142124928.00,101633,79.45,16.15,7.15
13-February-2024,1117.85,1124.90,1104.00,1117.70,1117.858187552898052133,164231,11982,183586968.00,105495,64.24,20.90,-0.15
12-February-2024,1124.45,1128.50,1111.45,1118.95,1119.897082919041550548,71407,3775,79968491.00,37611,52.67,17.05,-5.50
9-February-2024,1137.00,1144.95,1115.80,1121.10,1122.734372005954925342,203529,10948,228509004.00,25503,12.53,29.15,-15.90
8-February-2024,1147.95,1147.95,1116.95,1142.60,1129.936376463061447152,175061,6420,197807792.00,120921,69.07,31.00,-5.35
7-February-2024,1138.50,1148.20,1132.00,1134.55,1135.178302147045240820,656111,4633,744802971.00,630142,96.04,16.20,-3.95
6-February-2024,1125.00,1155.95,1122.60,1134.25,1142.766457173111616597,203984,8678,233106073.00,68909,33.78,33.35,9.25
5-February-2024,1153.25,1159.00,1110.40,1113.75,1126.161464444965970429,76698,4483,86374332.00,30031,39.15,48.60,-39.50
2-February-2024,1150.05,1175.10,1145.30,1150.55,1158.392610380352755178,251109,12877,290882810.00,33532,13.35,29.80,0.50
1-February-2024,1171.85,1171.85,1149.20,1150.75,1158.076163498174709250,50129,2728,58053200.00,22813,45.51,22.65,-21.10
31-January-2024,1164.00,1174.50,1146.75,1170.70,1161.281671858774662512,26964,1740,31312799.00,9389,34.82,27.75,6.70
30-January-2024,1164.90,1181.10,1154.80,1158.30,1170.816600288318225132,40927,2985,47918011.00,12930,31.59,26.30,-6.60
29-January-2024,1159.40,1169.35,1158.05,1162.05,1162.261377345571333083,981424,4085,1140671210.00,877104,89.37,11.30,2.65
25-January-2024,1190.30,1200.95,1157.35,1159.85,1181.614268754376750700,365568,13464,431960365.00,128299,35.10,43.60,-30.45
24-January-2024,1144.60,1200.00,1142.25,1190.45,1173.806376381300398798,227684,26571,267256931.00,75860,33.32,57.75,45.85
23-January-2024,1140.10,1172.50,1135.00,1159.20,1157.343805131039173592,141141,15425,163348662.00,30256,21.44,37.50,19.10
20-January-2024,1133.45,1139.00,1119.10,1123.00,1129.773333969678168599,62859,4124,71016422.00,24892,39.60,19.90,-10.45
19-January-2024,1087.25,1136.00,1087.25,1125.00,1124.674424034869240348,488224,18294,549093046.00,53307,10.92,48.75,37.75
18-January-2024,1078.00,1095.45,1074.95,1086.70,1089.544726873353747638,107441,4793,117061775.00,9494,8.84,20.50,8.70
17-January-2024,1092.45,1106.95,1078.30,1085.15,1094.493580403046215599,36373,2006,39810015.00,13870,38.13,28.65,-7.30
16-January-2024,1106.95,1116.80,1093.65,1095.35,1105.087736969884808099,38718,2046,42786787.00,10611,27.41,23.15,-11.60
15-January-2024,1078.15,1104.45,1075.55,1101.80,1090.754430379746835443,50955,10649,55579392.00,21867,42.91,28.90,23.65
12-January-2024,1059.20,1078.55,1051.75,1076.10,1071.261650575799805802,795068,22650,851725858.00,297720,37.45,26.80,16.90
11-January-2024,1064.65,1074.35,1057.25,1062.85,1066.174863387978142076,96624,3049,103018080.00,42436,43.92,17.10,-1.80
10-January-2024,1069.85,1073.00,1055.55,1063.55,1064.686844907083381053,471498,4691,501997718.00,435092,92.28,17.45,-6.30
9-January-2024,1052.00,1067.20,1048.40,1064.90,1057.777342779611135168,1473314,9201,1558438168.00,1383180,93.88,18.80,12.90
8-January-2024,1054.75,1058.80,1046.25,1049.15,1052.111792305286205817,79925,5971,84090035.00,44233,55.34,12.55,-5.60
5-January-2024,1055.90,1063.25,1039.00,1046.85,1047.734714324635490363,341349,14103,357643197.00,44467,13.03,24.25,-9.05
4-January-2024,1036.95,1059.00,1027.65,1049.15,1038.023945044160942100,45855,3499,47598588.00,19973,43.56,31.35,12.20
3-January-2024,1031.90,1036.85,1021.50,1035.10,1030.822817997293640054,70944,3625,73130694.00,41328,58.25,15.35,3.20
2-January-2024,1018.00,1025.40,1016.15,1021.90,1020.992912588592642591,88890,3624,90756060.00,45610,51.31,9.25,3.90
1-January-2024,1029.05,1031.95,1007.30,1013.05,1016.622784276269273230,80617,4624,81957079.00,29994,37.21,24.65,-16.00
