Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1661.60,1664.50,1632.10,1635.65,1643.819430848832331142,28604,3608,47019811.00,18152,63.46,32.40,-25.95
20-February-2024,1671.00,1672.85,1645.15,1662.85,1655.618211633066460885,20734,1376,34327588.00,8928,43.06,27.70,-8.15
19-February-2024,1668.05,1682.55,1660.80,1674.95,1673.375501198130442003,42149,2945,70531104.00,25531,60.57,21.75,6.90
16-February-2024,1678.45,1678.45,1650.25,1668.00,1666.354839373123277528,48622,3792,81021505.00,25608,52.67,28.20,-10.45
15-February-2024,1676.50,1696.00,1649.75,1661.80,1670.326514962713034142,52163,4166,87129242.00,26070,49.98,46.25,-14.70
14-February-2024,1650.05,1678.00,1625.50,1671.95,1653.953178521650799650,84662,7543,140026984.00,45734,54.02,52.50,21.90
13-February-2024,1670.25,1672.85,1648.60,1666.35,1659.241446250909973307,32968,4113,54701872.00,18979,57.57,24.25,-3.90
12-February-2024,1636.95,1685.00,1636.95,1666.15,1667.512546557006114380,157334,10042,262356419.00,80196,50.97,48.05,29.20
9-February-2024,1645.85,1646.00,1615.05,1632.00,1628.878726748755567199,76340,7636,124348602.00,29464,38.60,30.95,-13.85
8-February-2024,1625.00,1647.35,1616.70,1634.45,1635.165524141253195983,53974,2808,88256424.00,18651,34.56,30.65,9.45
7-February-2024,1625.25,1629.20,1599.00,1614.95,1615.212613204448406926,63933,4749,103265388.00,32363,50.62,30.20,-10.30
6-February-2024,1572.35,1627.25,1558.65,1624.00,1595.442063780809423773,1192898,4436,1903199647.00,1154191,96.76,68.60,51.65
5-February-2024,1583.50,1588.20,1551.20,1555.15,1572.368860859282617264,12685,1367,19945499.00,6366,50.19,37.00,-28.35
2-February-2024,1585.00,1612.70,1576.15,1583.50,1592.902336216871452972,72596,8274,115638338.00,16069,22.13,36.55,-1.50
1-February-2024,1573.50,1596.90,1566.30,1576.50,1581.516998008455330002,28621,2118,45264598.00,10353,36.17,30.60,3.00
31-January-2024,1555.15,1580.35,1546.10,1575.80,1572.047352250871988786,1472496,3982,2314833438.00,1398352,94.96,34.25,20.65
30-January-2024,1585.50,1592.00,1550.00,1558.90,1578.760748862474693820,49889,4118,78762795.00,28324,56.77,42.00,-26.60
29-January-2024,1560.05,1588.70,1551.00,1574.85,1573.480857486062771429,32467,1881,51086203.00,17702,54.52,37.70,14.80
25-January-2024,1571.95,1571.95,1536.95,1551.00,1548.403762994863829712,56657,4222,87727912.00,15654,27.63,35.00,-20.95
24-January-2024,1523.80,1581.00,1523.80,1575.20,1555.073338123435990188,40361,2217,62764315.00,13578,33.64,57.20,51.40
23-January-2024,1551.80,1567.00,1517.00,1522.85,1542.717954704646275974,42830,2067,66074610.00,18732,43.74,50.00,-28.95
20-January-2024,1589.90,1589.90,1538.00,1543.60,1556.814163520810436278,20927,1594,32579450.00,10787,51.55,51.90,-46.30
19-January-2024,1574.90,1590.00,1558.35,1567.90,1567.494457690746753246,157696,10442,247187606.00,16960,10.75,31.65,-7.00
18-January-2024,1580.00,1583.50,1537.60,1567.60,1562.876387357467796140,151457,8691,236708569.00,48082,31.75,45.90,-12.40
17-January-2024,1529.10,1584.95,1517.70,1576.05,1564.527534024305440577,60398,4280,94494334.00,27795,46.02,67.25,46.95
16-January-2024,1592.95,1592.95,1538.25,1555.20,1553.398447860255162367,153079,6059,237792681.00,34208,22.35,54.70,-37.75
15-January-2024,1602.90,1617.65,1575.15,1587.70,1593.016405061598381893,299115,13869,476495102.00,113732,38.02,42.50,-15.20
12-January-2024,1500.25,1554.75,1499.05,1543.00,1527.019727999767769278,344485,18220,526035391.00,115653,33.57,55.70,42.75
11-January-2024,1504.85,1504.85,1474.00,1485.75,1486.927794645321556720,36230,5123,53871394.00,17378,47.97,30.85,-19.10
10-January-2024,1470.00,1507.25,1470.00,1491.75,1490.213787889962386606,162708,8513,242469705.00,73006,44.87,37.25,21.75
9-January-2024,1461.00,1480.50,1454.10,1460.40,1468.085771925638300180,92198,4129,135354572.00,33862,36.73,26.40,-0.60
8-January-2024,1438.25,1451.75,1430.80,1447.45,1443.245660363071913983,105654,6236,152484677.00,53444,50.58,20.95,9.20
5-January-2024,1424.15,1438.50,1421.60,1432.85,1431.964613638708346229,67851,5266,97160231.00,16844,24.82,16.90,8.70
4-January-2024,1437.50,1443.75,1417.35,1419.65,1426.327787899943807788,58727,3515,83763952.00,27912,47.53,26.40,-17.85
3-January-2024,1460.00,1461.40,1436.00,1437.50,1443.356253027220769156,51615,2765,74498833.00,25811,50.01,25.40,-22.50
2-January-2024,1489.85,1489.85,1461.75,1469.15,1470.481424335935136443,33054,1883,48605293.00,17511,52.98,28.10,-20.70
1-January-2024,1455.05,1495.00,1455.05,1483.15,1477.523378331141701483,60077,4024,88765172.00,33624,55.97,39.95,28.10
