Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1465.00,1465.00,1435.05,1438.20,1446.047701600294054718,364558,15258,527168258.00,181208,49.71,29.95,-26.80
20-February-2024,1417.40,1457.00,1412.25,1453.75,1440.721669878422198119,1251133,50655,1802534425.00,661054,52.84,44.75,36.35
19-February-2024,1431.00,1431.00,1415.10,1417.10,1420.528839002295635816,808055,37613,1147865431.00,422539,52.29,15.90,-13.90
16-February-2024,1424.95,1428.15,1408.60,1419.90,1418.282086905173581830,988986,28596,1402661128.00,280751,28.39,19.55,-5.05
15-February-2024,1387.80,1415.25,1384.50,1413.75,1402.537060815231614760,489088,16364,685964046.00,216721,44.31,30.75,25.95
14-February-2024,1380.90,1391.45,1363.45,1384.00,1372.538838011197211820,782159,35273,1073543605.00,353800,45.23,28.00,3.10
13-February-2024,1393.40,1403.90,1384.10,1394.00,1393.693916960109837466,809924,45044,1128786152.00,378087,46.68,19.80,0.60
12-February-2024,1403.95,1413.70,1383.60,1390.55,1396.218102113846466236,719021,31658,1003910136.00,282510,39.29,30.10,-13.40
9-February-2024,1395.95,1414.00,1387.25,1403.20,1402.922992667262161510,1766598,90648,2478400953.00,667944,37.81,26.75,7.25
8-February-2024,1431.95,1438.95,1400.90,1403.65,1414.357977645297918284,588601,32167,832492520.00,349162,59.32,38.05,-28.30
7-February-2024,1458.80,1458.80,1427.20,1429.90,1436.101268749106461160,328749,14937,472116856.00,191072,58.12,31.60,-28.90
6-February-2024,1445.10,1449.45,1432.50,1443.80,1440.778815361845191336,714159,40936,1028945158.00,402563,56.37,16.95,-1.30
5-February-2024,1446.90,1451.50,1434.05,1445.10,1442.293382685958203061,1278419,61124,1843855264.00,454602,35.56,17.45,-1.80
2-February-2024,1476.00,1480.00,1443.00,1446.85,1461.876247952512936924,1503062,73801,2197290637.00,464261,30.89,37.00,-29.15
1-February-2024,1472.65,1473.65,1456.35,1466.40,1465.554370075866838580,287741,9412,421700080.00,83921,29.17,17.30,-6.25
31-January-2024,1442.10,1475.00,1436.95,1462.25,1460.996183393132285445,367342,13517,536685260.00,141358,38.48,38.05,20.15
30-January-2024,1455.60,1463.15,1440.90,1444.20,1448.224250690647648330,865130,51736,1252902246.00,520150,60.12,22.25,-11.40
29-January-2024,1453.95,1462.85,1442.30,1455.65,1451.448854039008786324,2407150,61249,3493855109.00,1279367,53.15,20.55,1.70
25-January-2024,1453.65,1454.75,1419.00,1435.30,1433.639685661893008293,1576010,47309,2259430481.00,594845,37.74,35.75,-18.35
24-January-2024,1393.65,1458.50,1382.40,1455.85,1439.123958116884067090,2733512,90307,3933862609.00,1549984,56.70,76.10,62.20
23-January-2024,1459.95,1474.95,1425.00,1427.60,1442.172718045913847051,1070004,46490,1543130577.00,569144,53.19,49.95,-32.35
20-January-2024,1484.60,1495.65,1475.55,1478.65,1483.056626230098276493,2283659,86715,3386795612.00,585867,25.65,20.10,-5.95
19-January-2024,1514.00,1514.00,1469.00,1470.70,1482.215970518752994178,5827976,176702,8638319103.00,4382426,75.20,45.00,-43.30
18-January-2024,1500.05,1515.50,1480.00,1486.80,1496.705042501871048028,2278135,75751,3409696142.00,1187574,52.13,35.50,-13.25
17-January-2024,1583.85,1596.00,1527.25,1536.90,1564.263676712759867716,2211606,94477,3459534933.00,1313014,59.37,68.75,-46.95
16-January-2024,1674.75,1683.90,1658.05,1678.95,1671.211817019124951667,268968,10248,449502500.00,113612,42.24,25.85,4.20
15-January-2024,1646.15,1681.00,1644.10,1671.85,1668.982650380971623793,975007,27525,1627269767.00,280018,28.72,36.90,25.70
12-January-2024,1650.05,1656.15,1633.55,1639.55,1643.842368916143132343,798897,38244,1313260737.00,188068,23.54,22.60,-10.50
11-January-2024,1657.95,1662.45,1643.45,1649.00,1652.873579020630515290,232762,14075,384726160.00,119175,51.20,19.00,-8.95
10-January-2024,1643.90,1659.85,1641.05,1656.00,1653.495803666949496440,108428,5082,179285243.00,47128,43.46,18.80,12.10
9-January-2024,1665.15,1677.55,1647.00,1650.40,1665.361187799576814014,347365,17462,578488189.00,210769,60.68,30.55,-14.75
8-January-2024,1675.25,1682.20,1659.30,1663.75,1667.990792799518980055,701842,29722,1170665994.00,173752,24.76,22.90,-11.50
5-January-2024,1686.70,1704.90,1668.25,1682.50,1677.844643202564409605,542815,20220,910759240.00,107862,19.87,36.65,-4.20
4-January-2024,1680.05,1694.95,1670.95,1690.10,1683.566438051646101032,137203,7333,230990366.00,66341,48.35,24.00,10.05
3-January-2024,1699.05,1702.40,1669.00,1672.85,1681.180851190207487413,420893,23734,707597252.00,234167,55.64,33.40,-26.20
2-January-2024,1700.55,1702.75,1688.65,1699.25,1698.046645873536531003,1377378,17750,2338852093.00,1221079,88.65,14.10,-1.30
1-January-2024,1709.65,1709.65,1691.50,1700.65,1701.717178534433954101,808998,32792,1376685794.00,228576,28.25,18.15,-9.00
