Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1056.45,1063.85,1045.00,1050.05,1057.309808573516230279,338041,10885,357414065.00,179496,53.10,18.85,-6.40
20-February-2024,1044.50,1052.25,1033.20,1048.80,1046.744348065537656615,145260,4245,152050084.00,74710,51.43,19.05,4.30
19-February-2024,1023.00,1045.95,1023.00,1043.55,1039.686837434870500251,210734,5315,219097366.00,75127,35.65,22.95,20.55
16-February-2024,1023.80,1026.20,1017.05,1022.80,1021.816384912910341175,709958,15876,725446717.00,163683,23.06,9.15,-1.00
15-February-2024,1023.00,1024.65,1006.75,1017.15,1015.078217086330135261,224823,6446,228212930.00,99894,44.43,17.90,-5.85
14-February-2024,1010.30,1035.40,1007.80,1021.75,1023.903814693634741225,322752,12005,330467004.00,174713,54.13,27.60,11.45
13-February-2024,1004.75,1027.05,1001.00,1020.10,1017.019464787030067959,182021,7065,185118900.00,63913,35.11,26.05,15.35
12-February-2024,1011.70,1011.70,985.15,995.65,997.629265735724352079,551341,17177,550033917.00,134245,24.35,26.55,-16.05
9-February-2024,989.95,1013.90,985.85,1010.75,1006.493835824128221789,1038825,26023,1045570959.00,303896,29.25,28.05,20.80
8-February-2024,1023.05,1028.30,985.45,989.60,999.149467349145263603,396789,20170,396451518.00,207135,52.20,42.85,-33.45
7-February-2024,1030.80,1031.75,1013.20,1023.75,1020.714541269736102989,347143,8479,354333908.00,270608,77.95,18.55,-7.05
6-February-2024,1023.85,1034.75,1016.80,1026.15,1028.325055708194437662,389081,8410,400101741.00,228860,58.82,17.95,2.30
5-February-2024,1021.65,1026.65,1012.30,1023.80,1021.242892175603182993,902421,22695,921591032.00,470504,52.14,14.35,2.15
2-February-2024,1032.15,1050.00,1022.00,1024.75,1038.105633330712473774,1208255,31033,1254296322.00,272988,22.59,28.00,-7.40
1-February-2024,1030.30,1033.00,1017.45,1025.60,1027.555311413965294333,337236,9942,346528643.00,246708,73.16,15.55,-4.70
31-January-2024,1016.90,1038.95,1003.30,1027.90,1026.732899774565926072,242643,5438,249129551.00,117851,48.57,35.65,11.00
30-January-2024,1016.95,1023.70,1008.00,1016.30,1015.789197178756893049,379549,14447,385541774.00,237522,62.58,15.70,-0.65
29-January-2024,1020.00,1032.10,1010.10,1017.35,1019.220580173808922440,534495,13494,544768304.00,161590,30.23,22.00,-2.65
25-January-2024,999.50,1014.95,988.15,1009.90,1000.155974670108775836,1362343,25916,1362555491.00,553183,40.61,26.80,10.40
24-January-2024,1030.00,1035.80,996.65,999.20,1002.338940391404518497,1826448,24668,1830719953.00,1412856,77.36,39.15,-30.80
23-January-2024,1067.40,1067.40,1021.20,1029.45,1036.821572084682988229,800822,12872,830309525.00,366828,45.81,46.20,-37.95
20-January-2024,1007.00,1014.95,995.15,1008.30,1006.409812981629485442,1062409,21397,1069218843.00,60898,5.73,19.80,1.30
19-January-2024,992.50,1010.75,988.00,999.10,1002.153462355889987244,1143831,34010,1146294197.00,321240,28.08,22.75,6.60
18-January-2024,976.05,994.35,970.05,986.60,983.282830851257454257,373612,11616,367366265.00,184824,49.47,24.30,10.55
17-January-2024,985.30,1008.00,977.10,980.35,987.943898666531802626,1423656,33745,1406492259.00,910151,63.93,30.90,-4.95
16-January-2024,1004.85,1016.00,1004.85,1009.15,1010.576522027486766313,81421,3286,82282151.00,32610,40.05,11.15,4.30
15-January-2024,1003.65,1011.65,999.30,1009.60,1007.953735572841375828,1045944,27165,1054263162.00,309324,29.57,12.35,5.95
12-January-2024,994.00,1008.95,992.00,1003.85,1003.915965103239493766,667913,19275,670528524.00,115004,17.22,16.95,9.85
11-January-2024,996.00,998.00,987.00,990.95,991.895157783860912592,163293,7396,161969536.00,78266,47.93,11.00,-5.05
10-January-2024,975.30,994.65,975.30,993.05,988.334337679673905270,209755,5050,207308069.00,86561,41.27,19.35,17.75
9-January-2024,987.00,994.95,975.60,979.30,990.280143731941012873,554087,14541,548701354.00,399207,72.05,19.35,-7.70
8-January-2024,992.45,997.95,980.15,982.00,986.890073459133236844,915475,25748,903473190.00,355806,38.87,17.80,-10.45
5-January-2024,988.30,998.45,984.10,994.10,991.266359830700557392,864740,18773,857187672.00,406265,46.98,14.35,5.80
4-January-2024,984.50,989.00,981.90,986.45,985.663771474915847671,606638,14588,597941099.00,428999,70.72,7.10,1.95
3-January-2024,983.75,987.90,975.35,984.25,985.654714138696358383,1613020,10232,1589880767.00,1497254,92.82,12.55,0.50
2-January-2024,998.00,998.00,980.55,982.10,988.575641280991267146,617553,23811,610497853.00,278939,45.17,17.45,-15.90
1-January-2024,994.65,1005.10,991.60,1001.25,1000.745497806287084819,1047767,25273,1048548108.00,430882,41.12,13.50,6.60
