Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1520.00,1526.75,1502.45,1517.60,1515.073120569444849616,68558,3932,103870383.00,27147,39.60,24.30,-2.40
20-February-2024,1490.00,1509.00,1475.25,1504.35,1491.600195045835771406,25635,1730,38237171.00,6242,24.35,33.75,14.35
19-February-2024,1495.55,1502.00,1477.00,1482.80,1487.494255365272057229,50743,3228,75479921.00,13463,26.53,25.00,-12.75
16-February-2024,1491.65,1506.10,1470.80,1494.10,1494.640443091167109849,145162,7592,216964996.00,23053,15.88,35.30,2.45
15-February-2024,1492.80,1492.80,1461.00,1477.10,1474.378526252384298765,19922,1665,29372569.00,5596,28.09,31.80,-15.70
14-February-2024,1459.90,1494.70,1436.75,1480.90,1465.601978027453227373,40141,1937,58830729.00,12696,31.63,57.95,21.00
13-February-2024,1459.85,1476.40,1431.10,1463.05,1453.919093607906504828,53222,3085,77380482.00,19008,35.71,45.30,3.20
12-February-2024,1490.05,1495.00,1443.00,1447.90,1460.945360549767792142,127472,6140,186229627.00,23982,18.81,52.00,-42.15
9-February-2024,1489.95,1491.05,1461.75,1485.60,1478.094720258616280140,195502,10973,288970474.00,27986,14.31,29.30,-4.35
8-February-2024,1516.35,1540.75,1470.50,1477.50,1502.444606667361907741,86301,5851,129662472.00,36478,42.27,70.25,-38.85
7-February-2024,1523.95,1523.95,1493.00,1515.65,1511.555246867541766109,53632,3757,81067731.00,24221,45.16,30.95,-8.30
6-February-2024,1548.05,1548.90,1504.40,1511.00,1518.862373941105284388,99160,10352,150610393.00,48500,48.91,44.50,-37.05
5-February-2024,1536.80,1550.00,1521.45,1539.25,1540.754518617274545281,157515,7776,242691948.00,36341,23.07,28.55,2.45
2-February-2024,1541.55,1564.40,1530.45,1537.35,1551.238314282778338582,165437,13016,256632213.00,36811,22.25,33.95,-4.20
1-February-2024,1543.85,1547.00,1524.00,1541.40,1538.342257402204452128,37016,2528,56943277.00,17164,46.37,23.00,-2.45
31-January-2024,1517.25,1548.00,1507.80,1534.10,1534.399430328799356023,48449,2152,74340118.00,25590,52.82,40.20,16.85
30-January-2024,1527.45,1544.05,1509.70,1517.40,1530.639311525294788893,42064,3450,64384812.00,20037,47.63,34.35,-10.05
29-January-2024,1516.35,1537.65,1516.35,1527.30,1527.821058270166349914,136279,7405,208209926.00,39841,29.23,21.30,10.95
25-January-2024,1498.25,1540.90,1490.00,1513.05,1499.039260342856385942,1207911,24933,1810706012.00,940962,77.90,50.90,14.80
24-January-2024,1455.10,1496.00,1441.30,1490.60,1473.031282260581470722,124959,9423,184068516.00,54226,43.40,54.70,35.50
23-January-2024,1534.90,1547.95,1429.00,1443.95,1475.459427147184875226,98699,6356,145626370.00,32398,32.82,118.95,-90.95
20-January-2024,1576.90,1576.90,1530.10,1534.05,1541.474097705690305460,67079,4058,103400541.00,21410,31.92,46.80,-42.85
19-January-2024,1618.95,1625.45,1550.00,1560.85,1561.356646597086593603,2893932,20986,4518459963.00,2646221,91.44,75.45,-58.10
18-January-2024,1636.60,1638.90,1595.00,1613.15,1614.741109759177207924,87118,5134,140673016.00,14406,16.54,43.90,-23.45
17-January-2024,1659.95,1675.50,1632.00,1643.00,1652.073827474787036130,61278,4989,101235780.00,27480,44.84,43.50,-16.95
16-January-2024,1687.15,1692.00,1663.20,1667.00,1676.570068638666448766,24476,1539,41035729.00,7089,28.96,28.80,-20.15
15-January-2024,1685.00,1694.35,1669.00,1688.80,1685.289019023024042483,164958,11222,278001906.00,15888,9.63,25.35,3.80
12-January-2024,1664.85,1677.60,1647.60,1673.30,1670.527921216527141775,133429,9464,222896870.00,21017,15.75,30.00,8.45
11-January-2024,1640.95,1668.15,1640.95,1658.20,1657.697194244604316546,55600,3250,92167964.00,25716,46.25,27.20,17.25
10-January-2024,1620.10,1642.70,1620.05,1640.85,1635.020573158564695358,29067,3353,47525143.00,9342,32.14,22.65,20.75
9-January-2024,1629.25,1643.45,1621.85,1624.50,1635.013281388347795289,11294,1049,18465840.00,3601,31.88,21.60,-4.75
8-January-2024,1631.55,1649.55,1621.95,1626.75,1629.373962337336143884,314529,19993,512485363.00,27270,8.67,27.60,-4.80
5-January-2024,1655.75,1655.75,1630.00,1642.60,1641.322991722741618531,151137,9040,248064633.00,21530,14.25,25.75,-13.15
4-January-2024,1600.65,1654.95,1593.60,1647.65,1636.401455461591540029,124634,8947,203951259.00,61171,49.08,61.35,47.00
3-January-2024,1570.15,1605.00,1558.50,1601.60,1584.527663436294687712,30853,2191,48887432.00,14407,46.70,46.50,31.45
2-January-2024,1599.85,1599.85,1570.05,1575.00,1582.569976463285311538,38663,2740,61186903.00,18748,48.49,29.80,-24.85
1-January-2024,1594.05,1611.00,1592.30,1600.30,1601.781732897435376774,196988,12291,315531780.00,37101,18.83,18.70,6.25
