Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,407.55,410.05,401.35,403.30,406.503858362234595423,571486,13538,232311264.00,291694,51.04,8.70,-4.25
20-February-2024,411.00,411.00,404.30,406.05,406.733156672944680478,684930,15129,278583741.00,437210,63.83,6.70,-4.95
19-February-2024,405.00,412.60,405.00,409.20,409.912607005105721738,1153216,25994,472717777.00,616861,53.49,7.60,4.20
16-February-2024,405.00,409.30,399.50,404.75,403.709571176513056987,1925291,45410,777258404.00,653810,33.96,9.80,-0.25
15-February-2024,413.55,413.60,403.15,404.00,407.011180350897784102,1090574,40513,443875811.00,578748,53.07,10.45,-9.55
14-February-2024,407.15,412.35,404.40,411.60,408.910314520269636123,543399,11301,222201456.00,316134,58.18,7.95,4.45
13-February-2024,406.85,410.55,403.35,406.60,407.110218000838308245,1228665,35885,500202076.00,604573,49.21,7.20,-0.25
12-February-2024,416.05,417.50,406.05,406.85,410.186945369227361887,1133299,44445,464864455.00,665300,58.70,11.45,-9.20
9-February-2024,410.35,424.20,408.70,415.60,417.106135532430756495,1343339,25855,560314939.00,260835,19.42,15.50,5.25
8-February-2024,429.45,429.45,408.65,414.45,417.874697633284528039,3125344,105974,1306002179.00,1603437,51.30,20.80,-15.00
7-February-2024,433.65,434.85,431.00,431.90,432.525124203143342562,807548,27379,349284799.00,472595,58.52,3.85,-1.75
6-February-2024,441.75,441.75,429.55,431.40,432.906499805520534349,1192928,45634,516426285.00,748534,62.75,12.20,-10.35
5-February-2024,443.80,443.80,436.55,438.05,440.645763859740380133,776674,28669,342238108.00,464647,59.83,7.25,-5.75
2-February-2024,444.85,447.15,439.45,440.20,442.952848276660688098,1131263,22307,501096168.00,323333,28.58,7.70,-4.65
1-February-2024,443.30,447.80,439.40,442.85,443.533103175887240299,420292,9149,186413415.00,183552,43.67,8.40,-0.45
31-January-2024,440.00,442.60,438.80,441.45,440.788735223770033837,318586,8049,140429120.00,155030,48.66,3.80,1.45
30-January-2024,447.95,453.65,437.25,438.00,442.401296062981041636,2273192,84612,1005663087.00,1090141,47.96,16.40,-9.95
29-January-2024,456.00,456.00,447.85,450.00,452.359626249456757931,335946,9107,151968407.00,189659,56.46,8.15,-6.00
25-January-2024,463.60,465.00,452.20,455.45,457.965387569057345688,1450606,30847,664327339.00,633967,43.70,12.80,-8.15
24-January-2024,460.80,467.45,458.10,463.70,462.225396815208949763,311606,6795,144032207.00,109102,35.01,9.35,2.90
23-January-2024,474.00,474.10,456.50,458.65,466.313194722477758183,327199,6853,152577211.00,139859,42.74,17.60,-15.35
20-January-2024,473.05,475.25,467.75,468.20,471.565335240995484616,304736,10567,143702934.00,203232,66.69,7.50,-4.85
19-January-2024,469.15,472.95,466.30,471.55,470.617041300263821991,837307,18719,394050943.00,296653,35.43,6.65,2.40
18-January-2024,465.75,467.55,454.55,465.50,463.001584419871265885,666490,19640,308585926.00,298811,44.83,13.00,-0.25
17-January-2024,472.70,476.85,465.30,466.80,470.356340731715727405,348004,6332,163685888.00,142146,40.85,11.55,-5.90
16-January-2024,468.35,474.95,464.40,472.10,469.661248776897794652,239146,5810,112317609.00,115740,48.40,10.55,3.75
15-January-2024,470.55,470.55,466.05,467.40,467.759758567432101643,274528,8379,128413151.00,173112,63.06,4.50,-3.15
12-January-2024,463.45,467.55,460.40,466.60,464.613538086262335070,703482,17868,326847261.00,117531,16.71,7.15,3.15
11-January-2024,465.50,466.45,461.25,462.60,463.567258550486584901,202123,6283,93697605.00,120434,59.58,5.20,-2.90
10-January-2024,464.50,466.65,460.05,463.20,462.379427120079017920,177175,7329,81922075.00,90643,51.16,6.60,-1.30
9-January-2024,469.85,469.85,463.65,464.35,466.414181713486612100,121565,4283,56699640.00,56351,46.35,6.20,-5.50
8-January-2024,474.25,475.00,464.60,465.35,468.405483333076008584,259076,6942,121352619.00,110333,42.59,10.40,-8.90
5-January-2024,479.95,479.95,472.00,473.90,475.065419706082285986,656102,12633,311691372.00,244863,37.32,7.95,-6.05
4-January-2024,480.00,481.40,474.10,475.80,478.949345433242925362,664027,18697,318035297.00,359261,54.10,7.30,-4.20
3-January-2024,471.00,480.70,469.35,477.30,477.591882852311441908,5944428,11286,2839010561.00,5473739,92.08,11.35,6.30
2-January-2024,469.15,471.30,463.65,470.15,468.054138105335831936,324448,8283,151859229.00,131817,40.63,7.65,1.00
1-January-2024,462.40,469.85,462.40,467.25,466.750690758826184908,937013,22806,437351465.00,601086,64.15,7.45,4.85
