Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,823.55,850.10,821.75,828.40,840.907013543072555498,150409,5039,126479983.00,35236,23.43,28.35,4.85
20-February-2024,824.05,824.95,811.90,820.60,818.910028766987402043,30243,1420,24766296.00,10110,33.43,13.05,-3.45
19-February-2024,827.75,827.75,814.00,820.10,820.957132329718917780,47495,2417,38991359.00,23492,49.46,13.75,-7.65
16-February-2024,813.15,824.40,813.15,820.50,820.499481410563267911,125340,6199,102841405.00,13110,10.46,11.25,7.35
15-February-2024,817.00,820.85,806.10,812.15,814.848575305291723202,44220,2447,36032604.00,24237,54.81,14.75,-4.85
14-February-2024,799.00,815.50,796.60,813.30,804.464458045244709961,47873,2320,38512127.00,16312,34.07,18.90,14.30
13-February-2024,811.95,814.00,790.80,813.10,804.817879121205815025,33637,1865,27071659.00,4727,14.05,23.20,1.15
12-February-2024,816.95,819.15,803.00,810.40,810.769341415801911024,48665,3135,39456090.00,21497,44.17,16.15,-6.55
9-February-2024,823.00,823.00,800.50,811.90,810.183294905634787326,191702,10014,155313758.00,30213,15.76,22.50,-11.10
8-February-2024,843.95,843.95,819.00,822.35,828.666467623245929854,56939,2137,47183440.00,22687,39.84,24.95,-21.60
7-February-2024,826.95,843.50,823.20,836.45,834.417442425420270138,205820,8181,171739798.00,125858,61.15,20.30,9.50
6-February-2024,822.95,822.95,805.50,819.10,812.957565976836909056,21068,1033,17127390.00,9759,46.32,17.45,-3.85
5-February-2024,824.00,833.80,811.00,814.25,822.995508442161630511,91505,3885,75308204.00,33866,37.01,22.80,-9.75
2-February-2024,809.45,825.85,805.05,823.80,819.084557958257627820,212446,13342,174011238.00,68290,32.14,20.80,14.35
1-February-2024,818.65,820.55,800.35,801.80,808.615782042230922277,31162,1407,25198085.00,10745,34.48,20.20,-16.85
31-January-2024,811.05,822.00,808.50,818.45,815.314450982347661314,30081,1172,24525474.00,10009,33.27,13.50,7.40
30-January-2024,819.65,829.15,810.00,811.60,821.670905224059429666,66768,2770,54861323.00,17811,26.68,19.15,-8.05
29-January-2024,819.95,823.75,803.45,811.65,812.699722269455308054,88215,4022,71692306.00,35419,40.15,20.30,-8.30
25-January-2024,816.05,820.80,792.90,816.45,812.149520919766138638,4005279,10099,3252885421.00,3850148,96.13,27.90,0.40
24-January-2024,791.45,814.30,784.05,812.45,800.622657368372667218,76143,4270,60961811.00,22511,29.56,30.25,21.00
23-January-2024,808.20,815.90,788.50,790.55,801.387456736223808361,69631,3385,55801410.00,28494,40.92,27.40,-17.65
20-January-2024,818.05,821.95,807.00,808.20,811.621014818140996856,11135,598,9037400.00,4819,43.28,14.95,-9.85
19-January-2024,804.05,820.05,804.05,816.60,815.466976875525625993,162901,8948,132840386.00,28234,17.33,16.00,12.55
18-January-2024,811.25,813.25,792.90,803.75,801.652268208928248689,82995,3857,66533130.00,16125,19.43,20.35,-7.50
17-January-2024,822.65,829.45,810.15,812.45,818.544621758477827221,65170,4096,53344553.00,27173,41.70,19.30,-10.20
16-January-2024,828.00,839.00,819.90,832.35,830.940835925261652325,44047,1824,36600451.00,11382,25.84,19.10,4.35
15-January-2024,828.45,830.75,820.00,824.85,825.607385146393715781,33608,1588,27747013.00,13230,39.37,10.75,-3.60
12-January-2024,823.00,830.15,820.80,825.35,824.799522659272113039,173461,9571,143070550.00,14875,8.58,9.35,2.35
11-January-2024,834.70,836.70,820.30,821.75,825.949181582880682439,27431,1379,22656612.00,11231,40.94,16.40,-12.95
10-January-2024,822.95,831.45,811.55,828.80,823.750283085633404104,28260,1429,23279183.00,10308,36.48,19.90,5.85
9-January-2024,825.15,831.75,819.15,821.10,826.108707995664068549,58119,3445,48012612.00,24411,42.00,12.60,-4.05
8-January-2024,835.00,835.40,821.00,822.15,826.714756985908765225,66992,3404,55383275.00,29522,44.07,14.40,-12.85
5-January-2024,838.15,845.50,827.50,829.65,833.231243964642087800,161548,8740,134606841.00,28643,17.73,18.00,-8.50
4-January-2024,845.10,845.10,835.40,836.85,839.393082718210181873,52564,1894,44121858.00,19275,36.67,9.70,-8.25
3-January-2024,862.80,868.15,835.95,837.35,841.789101109244357984,203562,6130,171356273.00,94697,46.52,32.20,-25.45
2-January-2024,884.85,884.85,859.80,870.10,870.192585077523654087,45341,1460,39455402.00,20272,44.71,25.05,-14.75
1-January-2024,879.95,884.40,874.95,877.35,879.380050476849887208,44773,2051,39372483.00,16639,37.16,9.45,-2.60
