Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1770.00,1770.00,1741.15,1745.95,1752.510000597050570183,66996,5938,117411160.00,27607,41.21,28.85,-24.05
20-February-2024,1739.95,1769.35,1738.60,1763.10,1756.126424136350377130,119985,7198,210708829.00,54144,45.13,30.75,23.15
19-February-2024,1747.85,1747.85,1725.40,1731.50,1734.055886196951858372,92581,9461,160540628.00,37745,40.77,22.45,-16.35
16-February-2024,1761.85,1761.85,1732.90,1735.90,1738.522765253572524811,175926,9669,305851356.00,38375,21.81,28.95,-25.95
15-February-2024,1757.95,1757.95,1721.00,1740.35,1733.422632719743780531,30911,2448,53581827.00,10585,34.24,36.95,-17.60
14-February-2024,1722.85,1764.30,1712.10,1748.10,1739.183073417652436112,73293,5873,127469945.00,30130,41.11,52.20,25.25
13-February-2024,1716.15,1745.00,1710.00,1737.15,1729.428563377106464521,70972,5064,122741004.00,32475,45.76,35.00,21.00
12-February-2024,1745.20,1745.20,1691.05,1710.05,1710.905388435412980192,140152,8139,239786812.00,42811,30.55,54.15,-35.15
9-February-2024,1733.95,1749.40,1719.15,1742.15,1736.422861201484672134,218230,14923,378939561.00,35792,16.40,30.25,8.20
8-February-2024,1793.55,1801.75,1727.50,1730.20,1750.209381354659970248,146546,14626,256486184.00,100507,68.58,74.25,-63.35
7-February-2024,1798.55,1809.85,1784.15,1793.50,1797.526240418813752303,85193,4801,153136653.00,46386,54.45,25.70,-5.05
6-February-2024,1809.75,1810.00,1783.25,1787.65,1793.842622776321566853,75157,5531,134819830.00,34754,46.24,26.75,-22.10
5-February-2024,1827.20,1827.20,1798.75,1809.55,1807.960447212186813238,213411,12647,385838647.00,52157,24.44,28.45,-17.65
2-February-2024,1839.00,1849.95,1818.50,1824.00,1830.504693983248105440,167981,12038,307490009.00,18550,11.04,31.45,-15.00
1-February-2024,1802.15,1830.90,1802.15,1822.05,1823.874844399118136688,66677,1269,121610503.00,4456,6.68,28.75,19.90
31-January-2024,1814.05,1841.00,1789.40,1824.55,1820.367680254946222281,75310,3581,137091890.00,38243,50.78,51.60,10.50
30-January-2024,1823.50,1838.95,1803.60,1822.55,1817.630536178643662029,72681,5934,132107205.00,42681,58.72,35.35,-0.95
29-January-2024,1780.25,1830.00,1776.35,1823.50,1817.822692432855352531,144427,6409,262542678.00,29896,20.70,53.65,43.25
25-January-2024,1787.75,1796.60,1752.60,1767.30,1774.082183984484950463,323299,15337,573558996.00,150786,46.64,44.00,-20.45
24-January-2024,1788.85,1804.00,1764.00,1789.00,1784.207842171678310916,64982,4748,115941394.00,16135,24.83,40.00,0.15
23-January-2024,1776.75,1824.75,1765.00,1784.25,1795.433795257079329561,141221,5339,253552956.00,30338,21.48,59.75,7.50
20-January-2024,1779.20,1829.50,1759.10,1806.45,1799.373430204786045579,519176,24223,934191500.00,74953,14.44,70.40,27.25
19-January-2024,1794.75,1799.95,1753.45,1765.75,1775.883985530365732798,1946421,43370,3456617883.00,1272055,65.35,46.50,-29.00
18-January-2024,1777.85,1792.70,1765.05,1777.40,1776.579770261646458200,137896,11867,244983244.00,50589,36.69,27.65,-0.45
17-January-2024,1829.85,1834.15,1776.35,1779.90,1793.994315068980483397,140547,10368,252140519.00,81120,57.72,57.80,-49.95
16-January-2024,1848.65,1860.85,1841.45,1847.60,1851.023302384853449845,27465,2467,50838355.00,12031,43.80,19.40,-1.05
15-January-2024,1849.95,1854.25,1837.00,1850.95,1847.751986600609260323,184486,9765,340884373.00,23948,12.98,17.25,1.00
12-January-2024,1822.15,1842.95,1814.50,1832.80,1832.106285666330983551,214488,11194,392964813.00,19418,9.05,28.45,10.65
11-January-2024,1831.50,1841.40,1816.00,1821.80,1831.033011055906181460,44682,2652,81814217.00,20470,45.81,25.40,-9.70
10-January-2024,1822.90,1833.20,1812.00,1820.20,1821.963337374703300831,58561,4241,106695995.00,25930,44.28,21.20,-2.70
9-January-2024,1838.00,1857.25,1821.00,1825.45,1842.808701893097078582,84993,6442,156625840.00,33580,39.51,36.25,-12.55
8-January-2024,1848.05,1852.05,1818.30,1826.20,1828.078887322658175217,394436,20655,721060124.00,65932,16.72,33.75,-21.85
5-January-2024,1863.55,1868.05,1842.00,1847.90,1851.054713465981071614,201285,11325,372589548.00,29995,14.90,26.05,-15.65
4-January-2024,1878.95,1878.95,1860.70,1863.40,1865.691757663100715037,54123,4706,100976835.00,24956,46.11,18.25,-15.55
3-January-2024,1865.00,1869.80,1847.35,1866.30,1859.147870016384489350,29296,2256,54465596.00,8361,28.54,22.45,1.30
2-January-2024,1909.95,1909.95,1860.60,1864.90,1877.959174755976229530,148756,13328,279357695.00,68856,46.29,49.35,-45.05
1-January-2024,1904.75,1918.70,1894.00,1910.90,1911.505880916527613853,245710,12581,469676110.00,47966,19.52,24.70,6.15
