Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,174.55,175.50,169.70,170.40,172.711950632702161655,108898,1551,18807986.00,35080,32.21,5.80,-4.15
20-February-2024,176.20,176.20,172.85,174.35,174.215999129174377101,174547,3111,30408880.00,71821,41.15,3.35,-1.85
19-February-2024,175.35,177.45,173.85,175.25,175.756198615588374940,200085,2630,35166179.00,58595,29.28,3.60,-0.10
16-February-2024,172.00,175.70,171.85,173.75,173.677132175675203521,143105,2390,24854066.00,58182,40.66,3.85,1.75
15-February-2024,172.55,173.80,169.90,171.55,171.489863259011971745,180926,3411,31026975.00,72345,39.99,3.90,-1.00
14-February-2024,168.80,172.85,167.30,172.20,170.128107092443887709,106973,2111,18199114.00,31424,29.38,5.55,3.40
13-February-2024,166.80,171.10,164.60,170.50,168.180367919827252090,288976,4112,48600090.00,129466,44.80,6.50,3.70
12-February-2024,172.25,172.25,165.60,166.75,168.632301255957216649,230183,4130,38816289.00,122377,53.16,6.65,-5.50
9-February-2024,174.00,174.00,165.90,171.50,169.273284213340001465,231949,2599,39262769.00,58050,25.03,8.10,-2.50
8-February-2024,178.95,178.95,172.15,172.85,175.600178745852661217,252873,2667,44404544.00,90549,35.81,6.80,-6.10
7-February-2024,170.65,178.30,170.65,176.20,175.744755600075490324,482181,6106,84740782.00,237091,49.17,7.65,5.55
6-February-2024,173.75,174.25,168.40,170.30,170.327274310529834437,355998,5691,60636169.00,153140,43.02,5.85,-3.45
5-February-2024,175.95,179.00,172.65,173.25,176.578404798776643928,566311,5271,99998293.00,335260,59.20,6.35,-2.70
2-February-2024,173.50,176.20,173.45,174.60,174.938701418521508476,216775,2964,37922337.00,96733,44.62,2.75,1.10
1-February-2024,175.00,175.45,169.00,172.20,171.617174786503261855,208317,2916,35750775.00,61029,29.30,6.45,-2.80
31-January-2024,167.95,174.75,167.95,173.10,172.711115283460177596,687063,6496,118663417.00,396646,57.73,6.80,5.15
30-January-2024,168.25,171.55,165.45,167.80,169.100746946676777783,412747,4181,69795826.00,199625,48.36,6.10,-0.45
29-January-2024,168.35,169.00,167.00,167.60,167.957744502786751268,285099,3481,47884585.00,103381,36.26,2.00,-0.75
25-January-2024,162.25,167.25,161.55,166.85,164.977479145985509608,269972,3232,44539300.00,88102,32.63,5.70,4.60
24-January-2024,163.15,163.50,157.20,161.15,160.275708946660984165,610060,7557,97777799.00,179851,29.48,6.30,-2.00
23-January-2024,168.40,168.50,157.95,159.75,161.476885892590217005,726526,9035,117317156.00,248906,34.26,10.55,-8.65
20-January-2024,169.45,169.80,166.75,167.00,167.614434145044257873,105292,1162,17648459.00,55682,52.88,3.05,-2.45
19-January-2024,168.25,169.05,165.95,168.25,167.733438793224579709,220621,3295,37005519.00,79879,36.21,3.10,0.00
18-January-2024,170.25,171.60,165.15,166.45,167.650362526955659785,304667,2862,51077533.00,76162,25.00,6.45,-3.80
17-January-2024,165.50,170.85,164.75,169.65,169.327154582763337893,482460,4918,81693579.00,266775,55.29,6.10,4.15
16-January-2024,170.00,170.95,165.85,167.50,168.699220243100680376,287782,3995,48548599.00,108345,37.65,5.10,-2.50
15-January-2024,168.55,170.75,167.50,169.80,169.027395964193916329,190247,2297,32156955.00,60899,32.01,3.25,1.25
12-January-2024,169.85,169.85,166.65,167.05,167.956624469006910835,236585,3077,39736018.00,101662,42.97,3.20,-2.80
11-January-2024,165.90,171.05,165.90,168.55,169.091465482583511327,445239,5714,75286115.00,202651,45.52,5.15,2.65
10-January-2024,167.10,167.10,162.50,165.75,164.151074584308553218,262334,3144,43062408.00,77990,29.73,4.60,-1.35
9-January-2024,169.00,171.00,165.95,166.40,168.228546456037026391,170473,2088,28678425.00,61279,35.95,5.05,-2.60
8-January-2024,172.90,172.90,166.85,168.30,168.596328603639510784,219535,2440,37012795.00,84753,38.61,6.05,-4.60
5-January-2024,173.70,174.85,168.70,170.80,171.363379373809017393,921508,7834,157912725.00,276069,29.96,6.15,-2.90
4-January-2024,168.15,172.20,167.00,171.70,169.818622632150997992,558471,4381,94838776.00,208680,37.37,5.20,3.55
3-January-2024,162.75,170.80,162.60,166.00,168.109426913606536623,1192787,8963,200518739.00,179978,15.09,8.20,3.25
2-January-2024,163.90,164.60,159.70,162.20,162.003535432151613028,513940,5436,83260097.00,266505,51.86,4.90,-1.70
1-January-2024,166.05,166.05,162.65,163.50,164.273299356411555497,398702,4414,65496093.00,200605,50.31,3.40,-2.55
