Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1854.20,1888.00,1846.30,1860.05,1867.130957573918485785,105454,4464,196896428.00,51708,49.03,41.70,5.85
20-February-2024,1845.55,1860.00,1820.05,1851.95,1844.364247824428804215,115372,5298,212787992.00,81194,70.38,39.95,6.40
19-February-2024,1838.20,1855.50,1820.00,1848.85,1842.590240601803020955,100498,6535,185176634.00,45142,44.92,35.50,10.65
16-February-2024,1790.00,1864.65,1776.35,1835.55,1822.104937247596644140,367715,19084,670015317.00,129782,35.29,88.30,45.55
15-February-2024,1683.10,1783.80,1666.00,1765.55,1747.617425910386254683,481444,20475,841379924.00,162771,33.81,117.80,82.45
14-February-2024,1641.80,1679.40,1625.00,1657.60,1649.630368211789692045,161972,6973,267193930.00,68891,42.53,54.40,15.80
13-February-2024,1684.75,1684.75,1623.20,1645.90,1654.362390195522810994,28232,2339,46705959.00,9977,35.34,61.55,-38.85
12-February-2024,1664.95,1674.85,1640.65,1659.95,1658.144941717008423381,47012,4050,77952710.00,25174,53.55,34.20,-5.00
9-February-2024,1694.95,1694.95,1628.10,1646.85,1649.722611932431007777,123311,10217,203428945.00,63149,51.21,66.85,-48.10
8-February-2024,1729.90,1743.10,1675.80,1687.40,1700.599716165656044381,38755,2854,65906742.00,21676,55.93,67.30,-42.50
7-February-2024,1729.20,1750.50,1716.10,1720.25,1729.600013328446236379,30011,2720,51907026.00,16048,53.47,34.40,-8.95
6-February-2024,1712.80,1729.85,1708.00,1727.60,1723.544733268209001453,41971,2427,72338896.00,18126,43.19,21.85,14.80
5-February-2024,1672.15,1712.00,1665.05,1703.10,1695.676149372351903997,189995,9544,322169990.00,112129,59.02,46.95,30.95
2-February-2024,1657.00,1686.50,1650.10,1664.25,1664.936323477737061392,199210,14646,331671965.00,134191,67.36,36.40,7.25
1-February-2024,1657.00,1702.45,1645.20,1650.70,1678.404549169832633488,285063,14195,478451036.00,153931,54.00,57.25,-6.30
31-January-2024,1619.85,1657.40,1609.25,1653.85,1643.474732679068404863,75097,3350,123420022.00,54464,72.52,48.15,34.00
30-January-2024,1640.15,1659.35,1615.10,1620.20,1635.501172736964768303,201665,8928,329823344.00,131630,65.27,44.25,-19.95
29-January-2024,1635.50,1643.90,1624.30,1639.45,1637.580015733430730761,71186,4213,116572771.00,48994,68.83,19.60,3.95
25-January-2024,1629.05,1643.00,1604.00,1634.85,1625.407830290693976210,31442,4077,51106073.00,6276,19.96,39.00,5.80
24-January-2024,1595.20,1632.65,1575.25,1627.55,1607.095115811954946479,39331,2969,63208658.00,8180,20.80,57.40,32.35
23-January-2024,1623.65,1646.65,1588.15,1593.70,1621.794068814707827706,74083,8318,120147370.00,36239,48.92,58.50,-29.95
20-January-2024,1656.20,1670.60,1616.80,1623.80,1641.959395078456226233,45758,4106,75132778.00,22246,48.62,53.80,-32.40
19-January-2024,1625.00,1660.00,1624.75,1655.60,1645.337658147950739192,142588,9694,234605406.00,27365,19.19,35.25,30.60
18-January-2024,1597.35,1623.15,1580.20,1617.15,1609.607933680761703718,90954,7285,146400280.00,29575,32.52,42.95,19.80
17-January-2024,1616.95,1616.95,1590.60,1599.20,1600.298869930502773972,219721,13464,351619268.00,168996,76.91,26.35,-17.75
16-January-2024,1636.05,1637.50,1617.00,1620.45,1628.127647278784376381,117668,8749,191578524.00,73782,62.70,20.50,-15.60
15-January-2024,1636.00,1641.10,1616.40,1636.05,1627.823195240596524082,175148,7814,285109977.00,115392,65.88,24.70,0.05
12-January-2024,1635.85,1635.85,1601.10,1622.85,1617.866126041246055602,267468,19288,432727417.00,94701,35.41,34.75,-13.00
11-January-2024,1645.75,1650.65,1625.80,1629.80,1633.008002058407307345,116595,3511,190400568.00,83332,71.47,24.85,-15.95
10-January-2024,1648.30,1648.30,1621.80,1631.25,1625.687089683470105509,272960,4133,443747548.00,239518,87.75,26.50,-17.05
9-January-2024,1625.00,1636.30,1615.25,1633.80,1633.332554693374017271,273982,15083,447503720.00,244721,89.32,21.05,8.80
8-January-2024,1642.65,1653.30,1606.10,1615.25,1626.331034759251092490,74829,8312,121696725.00,44230,59.11,47.20,-27.40
5-January-2024,1649.70,1661.40,1636.90,1642.25,1645.633586245384058229,84219,7714,138593615.00,35325,41.94,24.50,-7.45
4-January-2024,1661.75,1673.95,1638.65,1641.40,1656.586300618392180331,80208,6588,132871474.00,36150,45.07,35.30,-20.35
3-January-2024,1670.05,1676.00,1648.35,1655.45,1658.539701134707332688,73411,5179,121755058.00,35373,48.18,27.65,-14.60
2-January-2024,1705.45,1705.45,1649.40,1656.30,1665.117915787044265088,147317,13700,245300176.00,71520,48.55,56.05,-49.15
1-January-2024,1726.20,1728.00,1698.80,1703.60,1707.105981779766908239,44017,2839,75141684.00,18229,41.41,29.20,-22.60
