Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,11489.95,11520.30,11372.90,11469.70,11440.835373317013463892,3268,1027,37388650.00,900,27.54,147.40,-20.25
20-February-2024,11479.90,11480.00,11316.65,11446.05,11408.706718851924331376,7665,1855,87447737.00,2986,38.96,163.35,-33.85
19-February-2024,11424.70,11604.25,11335.00,11483.75,11491.411524799368504144,7601,2567,87346219.00,2230,29.34,269.25,59.05
16-February-2024,11124.00,11480.00,11094.20,11367.65,11383.963857788253781182,25455,6212,289778800.00,5689,22.35,385.80,243.65
15-February-2024,11027.05,11134.00,10981.85,11087.80,11055.669170243204577968,5592,1548,61823302.00,2560,45.78,152.15,60.75
14-February-2024,10700.00,11050.00,10700.00,11026.85,10956.257406730065837600,10936,2543,119817631.00,5877,53.74,350.00,326.85
13-February-2024,10710.25,10827.00,10639.00,10791.75,10763.015283842794759825,3664,1115,39435688.00,1265,34.53,188.00,81.50
12-February-2024,10690.00,10751.95,10651.85,10709.40,10709.766392092257001647,3035,878,32504141.00,1332,43.89,100.10,19.40
9-February-2024,10740.40,10770.00,10607.05,10730.35,10718.487429178470254957,22592,6791,242152068.00,3403,15.06,162.95,-10.05
8-February-2024,10935.05,10945.00,10695.00,10749.60,10766.003568104250698107,6446,1627,69397659.00,2718,42.17,250.00,-185.45
7-February-2024,10848.00,10969.00,10785.75,10931.55,10886.957690910034781705,19263,5380,209715466.00,10391,53.94,183.25,83.55
6-February-2024,10549.50,10861.00,10487.10,10848.55,10762.451931616341030195,18016,6184,193896334.00,7489,41.57,373.90,299.05
5-February-2024,10649.90,10754.00,10400.00,10425.35,10563.156838719558891101,6529,1615,68966851.00,2645,40.51,354.00,-224.55
2-February-2024,10611.00,10708.70,10540.70,10652.05,10643.437053035757139428,20835,8432,221756011.00,5106,24.51,168.00,41.05
1-February-2024,10224.85,10699.00,10216.90,10631.45,10540.699154322933081206,38076,7359,401347661.00,16087,42.25,482.10,406.60
31-January-2024,9957.25,10239.70,9915.75,10183.30,10125.213955266679411202,26155,6148,264824971.00,10851,41.49,323.95,226.05
30-January-2024,9995.75,10027.20,9931.35,9957.25,9976.165507540829882003,12797,2876,127664990.00,8031,62.76,95.85,-38.50
29-January-2024,9902.55,10033.45,9880.00,9993.50,9982.383528828679993391,12106,2530,120846735.00,6612,54.62,153.45,90.95
25-January-2024,9976.15,10007.50,9825.00,9886.80,9945.211899058318189327,48424,6132,481586941.00,39146,80.84,182.50,-89.35
24-January-2024,9861.00,9991.00,9755.00,9970.10,9875.914717923808202067,14411,4383,142321807.00,7081,49.14,236.00,109.10
23-January-2024,9929.95,9974.10,9831.15,9863.70,9899.703362543305481964,24535,5575,242889222.00,17143,69.87,142.95,-66.25
20-January-2024,10039.05,10061.70,9940.70,9974.10,9996.983520900321543408,2488,567,24872495.00,936,37.62,121.00,-64.95
19-January-2024,10000.00,10054.50,9961.00,10031.05,10013.546804630215506011,26867,7292,269033962.00,14785,55.03,93.50,31.05
18-January-2024,9960.00,10035.60,9738.40,9921.15,9907.779310855050215473,54067,7987,535683904.00,39771,73.56,297.20,-38.85
17-January-2024,10101.10,10162.00,10000.00,10052.35,10067.043662786959038003,15551,3018,156552596.00,8032,51.65,162.00,-48.75
16-January-2024,10144.90,10241.15,10068.10,10187.50,10188.760501025807148256,27783,3913,283074333.00,20192,72.68,173.05,42.60
15-January-2024,9990.05,10097.40,9950.00,10086.45,10029.271298272850766543,5153,1262,51680835.00,1971,38.25,147.40,96.40
12-January-2024,10010.25,10025.00,9938.00,9962.30,9971.183671256641006180,156791,9064,1563391859.00,131155,83.65,87.00,-47.95
11-January-2024,10059.80,10120.00,10000.25,10008.05,10076.183101635093279550,27766,5231,279775300.00,23189,83.52,119.75,-51.75
10-January-2024,10039.90,10055.05,9949.70,10002.05,10003.010090865614538498,20910,4209,209162941.00,17147,82.00,105.35,-37.85
9-January-2024,10019.65,10040.00,9891.80,10023.05,9991.382004859314993338,25518,5129,254960086.00,15428,60.46,148.20,3.40
8-January-2024,10018.65,10125.00,9914.00,9947.30,10000.434597187978943159,15007,3582,150076522.00,5670,37.78,211.00,-71.35
5-January-2024,10085.75,10085.75,9970.00,10018.80,10012.968919321226555522,16795,4863,168167813.00,5107,30.41,115.75,-66.95
4-January-2024,10167.20,10167.20,9984.20,10015.80,10019.087110213356899381,7921,2049,79361189.00,4215,53.21,183.00,-151.40
3-January-2024,10220.25,10220.25,10067.55,10075.45,10096.500000000000000000,18740,2330,189208410.00,15273,81.50,152.70,-144.80
2-January-2024,10293.70,10295.80,10152.05,10196.70,10207.515434451219512195,5248,1230,53569041.00,2336,44.51,143.75,-97.00
1-January-2024,10398.95,10398.95,10220.00,10281.75,10272.995165897604921995,4551,1092,46752401.00,1415,31.09,178.95,-117.20
