Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,2543.75,2550.00,2520.35,2547.25,2545.122469848717254654,33249,1912,84622777.00,27657,83.18,29.65,3.50
20-February-2024,2522.95,2540.00,2497.50,2538.75,2525.974742486242415690,56696,3917,143212664.00,33358,58.84,42.50,15.80
19-February-2024,2500.00,2525.00,2482.05,2514.00,2512.318483039170658093,15241,1534,38290246.00,6630,43.50,42.95,14.00
16-February-2024,2457.05,2490.00,2449.30,2487.60,2478.686108571934066582,33913,3380,84059682.00,23308,68.73,40.70,30.55
15-February-2024,2490.25,2490.25,2440.00,2453.70,2457.642633480529907667,24910,4385,61219878.00,11132,44.69,50.25,-36.55
14-February-2024,2454.85,2496.00,2435.70,2487.05,2450.757946328137554234,62230,6924,152510667.00,39896,64.11,60.30,32.20
13-February-2024,2478.15,2478.15,2446.35,2459.15,2463.268077601410934744,9072,1248,22346768.00,3635,40.07,31.80,-19.00
12-February-2024,2479.85,2479.85,2440.00,2458.30,2455.057284494629578628,10893,1344,26742939.00,5882,54.00,39.85,-21.55
9-February-2024,2425.65,2465.00,2420.60,2450.05,2439.152158307063266643,32039,5001,78147996.00,15124,47.20,44.40,24.40
8-February-2024,2500.10,2510.00,2409.70,2423.60,2443.814964817542137129,48888,6082,119473226.00,26220,53.63,100.30,-76.50
7-February-2024,2470.70,2510.25,2448.00,2499.05,2478.243355800317825634,127743,10786,316578241.00,57985,45.39,62.25,28.35
6-February-2024,2463.00,2479.30,2445.80,2457.85,2456.746741207678484839,70118,6574,172262168.00,52179,74.42,33.50,-5.15
5-February-2024,2504.90,2504.90,2460.00,2463.10,2479.408293674732444086,44757,5964,110970877.00,20995,46.91,44.90,-41.80
2-February-2024,2474.85,2495.80,2464.00,2484.00,2480.066582993410731095,47805,9703,118559583.00,17551,36.71,31.80,9.15
1-February-2024,2524.85,2524.85,2462.50,2468.55,2487.873700263413281574,21639,2553,53835099.00,9759,45.10,62.35,-56.30
31-January-2024,2512.85,2512.85,2481.50,2505.50,2497.646966333703292637,32436,4187,81013677.00,17907,55.21,31.35,-7.35
30-January-2024,2519.80,2531.50,2489.25,2493.25,2511.624545134405446648,17038,1838,42793059.00,9135,53.62,42.25,-26.55
29-January-2024,2497.85,2505.00,2477.00,2498.05,2493.177344623741811791,12518,1593,31209594.00,6081,48.58,28.00,0.20
25-January-2024,2528.15,2529.00,2470.00,2481.25,2493.612488295303336454,40582,6455,101195782.00,17077,42.08,59.00,-46.90
24-January-2024,2474.95,2519.75,2453.45,2515.20,2482.973966942148760330,19360,2435,48070376.00,8532,44.07,66.30,40.25
23-January-2024,2494.85,2498.75,2445.80,2462.45,2471.063550957742359994,54712,7550,135196829.00,22024,40.25,52.95,-32.40
20-January-2024,2528.90,2528.90,2473.05,2480.30,2491.265146320422924638,45209,7550,112627606.00,25143,55.62,55.85,-48.60
19-January-2024,2547.85,2547.85,2500.45,2515.15,2510.725412374035917356,35526,6374,89196031.00,18772,52.84,47.40,-32.70
18-January-2024,2537.10,2549.65,2496.30,2502.60,2512.830361600456458169,56084,8109,140929578.00,29420,52.46,53.35,-34.50
17-January-2024,2542.15,2558.35,2526.00,2543.25,2539.406227557197086282,19494,2396,49503185.00,10218,52.42,32.35,1.10
16-January-2024,2561.85,2561.85,2531.50,2541.30,2542.858554496611679580,37039,5138,94184938.00,22390,60.45,30.35,-20.55
15-January-2024,2574.70,2576.55,2530.85,2548.30,2551.411962630203672548,27937,4002,71278796.00,16118,57.69,45.70,-26.40
12-January-2024,2559.85,2559.85,2530.00,2549.25,2543.472348023699375050,61605,8241,156690614.00,28189,45.76,29.85,-10.60
11-January-2024,2604.85,2604.85,2550.20,2557.75,2566.255904522613065326,23880,2899,61282191.00,13040,54.61,54.65,-47.10
10-January-2024,2597.65,2622.40,2571.00,2577.65,2591.515049342105263157,24320,3078,63025646.00,13118,53.94,51.40,-20.00
9-January-2024,2651.85,2651.85,2587.00,2592.20,2607.310043966558079139,43897,4520,114453089.00,22810,51.96,64.85,-59.65
8-January-2024,2684.70,2686.60,2614.00,2619.20,2642.369230478922142129,105988,10895,280059430.00,50810,47.94,72.60,-65.50
5-January-2024,2749.00,2759.00,2644.00,2666.90,2672.139084739061676331,121408,12765,324419062.00,66319,54.62,115.00,-82.10
4-January-2024,26870.00,27150.00,26653.05,27116.00,26937.396278766117186224,6127,2318,165045427.00,2909,47.48,496.95,246.00
3-January-2024,27350.00,27429.40,26570.05,26640.35,26948.555928738317757009,6848,3059,184543711.00,3392,49.53,859.35,-709.65
2-January-2024,27500.00,27707.45,27027.00,27230.90,27309.901104063894761569,4257,1735,116258249.00,1946,45.71,680.45,-269.10
1-January-2024,26699.90,27444.00,26660.00,27365.35,27066.879287305122494432,6735,2512,182295432.00,3237,48.06,784.00,665.45
