Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,347.45,347.85,334.80,336.10,342.224528791284800276,462640,8037,158326756.00,150199,32.47,13.05,-11.35
20-February-2024,341.45,346.10,337.75,345.65,343.339703282871704575,726955,13458,249592514.00,376768,51.83,8.35,4.20
19-February-2024,341.30,341.95,337.60,338.85,339.549894378073243036,281665,4419,95639321.00,113245,40.21,4.35,-2.45
16-February-2024,342.90,342.95,336.50,337.65,339.210036804933850591,1306890,24235,443310205.00,419573,32.10,6.45,-5.25
15-February-2024,330.95,341.00,330.50,339.65,335.530095529088199827,478493,7626,160548802.00,125347,26.20,10.50,8.70
14-February-2024,321.65,329.30,318.35,327.90,322.761973992875553882,690580,7735,222892964.00,455980,66.03,10.95,6.25
13-February-2024,318.50,323.90,315.90,321.90,320.490021982170017652,360292,5623,115469991.00,74727,20.74,8.00,3.40
12-February-2024,326.25,326.65,314.55,316.05,318.328574669860761766,718409,14264,228690113.00,356949,49.69,12.10,-10.20
9-February-2024,332.90,334.00,319.45,324.90,325.331771927229699748,1352200,21816,439913622.00,317236,23.46,14.55,-8.00
8-February-2024,334.75,335.25,328.00,331.00,331.474725610622991839,562704,10571,186522154.00,253569,45.06,7.25,-3.75
7-February-2024,337.95,337.95,329.80,330.60,332.602845295740603805,503076,11549,167324509.00,214507,42.64,8.15,-7.35
6-February-2024,336.65,336.65,329.20,334.30,332.828785531947045458,370582,5583,123340357.00,160687,43.36,7.45,-2.35
5-February-2024,337.80,341.05,333.00,336.05,337.103921711681477049,1027995,18126,346541146.00,377600,36.73,8.05,-1.75
2-February-2024,324.65,333.60,323.45,332.50,330.207639037310042875,1455131,21727,480495372.00,317526,21.82,10.15,7.85
1-February-2024,320.85,326.95,317.20,321.75,321.725683984116723067,1356647,18846,436468184.00,435405,32.09,9.75,0.90
31-January-2024,319.25,320.00,312.60,317.55,316.127427963270577112,757322,12050,239410256.00,291283,38.46,7.40,-1.70
30-January-2024,323.85,323.85,314.50,315.45,319.362133071989508316,1406066,20401,449044237.00,602908,42.88,9.35,-8.40
29-January-2024,318.55,325.70,316.20,324.65,322.015719317595093085,1479708,21935,476489236.00,793334,53.61,9.50,6.10
25-January-2024,310.75,317.20,309.70,314.85,312.046276671500832323,2611964,20124,815053641.00,1621155,62.07,7.50,4.10
24-January-2024,303.00,310.60,298.20,309.15,305.706176517422161126,496121,6901,151667254.00,97905,19.73,12.40,6.15
23-January-2024,314.50,315.40,300.00,302.45,310.020747280632424920,570629,9888,176906829.00,107717,18.88,15.40,-12.05
20-January-2024,311.25,314.75,306.40,308.10,311.824911790590458043,619265,10449,193102254.00,249272,40.25,8.35,-3.15
19-January-2024,304.45,309.50,301.90,308.45,306.445632212373441741,1243696,15188,381125207.00,305153,24.54,7.60,4.00
18-January-2024,309.35,311.15,296.55,299.35,300.698274458998463581,1228832,27199,369507662.00,538812,43.85,14.60,-10.00
17-January-2024,311.40,314.10,307.10,309.35,311.213740968933493001,552814,10463,172043313.00,201800,36.50,7.00,-2.05
16-January-2024,317.40,317.40,310.25,311.55,312.987567455247570788,486063,9989,152131676.00,210204,43.25,7.15,-5.85
15-January-2024,315.00,317.95,309.65,317.40,314.754779412369624343,607763,12922,191296309.00,297029,48.87,8.30,2.40
12-January-2024,315.00,315.00,309.75,312.65,312.023099339054312866,933057,14341,291135337.00,258037,27.66,5.25,-2.35
11-January-2024,315.00,317.25,312.45,312.90,314.981185849007450633,383860,8562,120908678.00,189109,49.26,4.80,-2.10
10-January-2024,320.00,320.00,308.10,313.35,312.030060774888806722,835707,15113,260765706.00,273385,32.71,11.90,-6.65
9-January-2024,317.95,321.40,316.10,319.85,319.107416352796122080,296035,5785,94466964.00,101431,34.26,5.30,1.90
8-January-2024,316.45,318.45,312.65,316.35,315.834282674508819771,565831,9807,178708828.00,225717,39.89,5.80,-0.10
5-January-2024,322.50,325.60,312.85,315.00,318.280237918648110175,1444023,23925,459603984.00,391534,27.11,12.75,-7.50
4-January-2024,310.60,321.70,309.00,317.10,317.013588442014837953,1626235,18905,515538593.00,654189,40.23,12.70,6.50
3-January-2024,308.45,308.45,303.30,306.25,305.552716065971199780,349789,8975,106878979.00,128009,36.60,5.15,-2.20
2-January-2024,311.00,311.00,302.20,306.05,306.239526446860556932,543297,7389,166379016.00,145726,26.82,8.80,-4.95
1-January-2024,312.40,313.15,307.85,309.50,310.278476110628699184,500955,9461,155435554.00,200268,39.98,5.30,-2.90
