Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,287.90,289.30,279.35,280.15,283.128299737537338364,811163,12587,229663201.00,303681,37.44,9.95,-7.75
20-February-2024,278.00,288.80,278.00,287.95,285.956167029836410041,1864601,19402,533194155.00,772206,41.41,10.80,9.95
19-February-2024,275.35,278.30,273.50,276.45,276.267145547645383225,468314,7909,129379772.00,207199,44.24,4.80,1.10
16-February-2024,282.15,282.55,273.25,274.85,276.457827596844649162,1034053,13008,285872046.00,226118,21.87,9.30,-7.30
15-February-2024,272.65,283.25,271.50,281.50,278.396906868723564366,770740,9942,214571632.00,334842,43.44,11.75,8.85
14-February-2024,269.85,274.70,266.95,273.85,271.096515284445452125,507215,6754,137504219.00,252270,49.74,7.75,4.00
13-February-2024,269.80,270.60,264.25,270.25,267.320759675805111405,376687,4381,100696255.00,110530,29.34,6.35,0.45
12-February-2024,273.55,275.90,266.15,270.10,270.040216741991347215,994362,14843,268517730.00,454135,45.67,9.75,-3.45
9-February-2024,278.80,279.50,268.95,273.10,273.552725265455988885,1451088,19321,396949077.00,331707,22.86,10.55,-5.70
8-February-2024,273.35,287.85,271.00,276.20,281.291681724006205673,2520919,25963,709113545.00,746165,29.60,16.85,2.85
7-February-2024,272.85,274.35,267.05,267.95,270.426307212142715393,831445,15221,224844601.00,333812,40.15,7.30,-4.90
6-February-2024,284.75,284.75,272.30,274.35,274.875087053316588651,700720,8253,192610471.00,244112,34.84,12.45,-10.40
5-February-2024,279.60,289.45,275.00,282.75,283.099256168832661744,652433,9298,184703297.00,177392,27.19,14.45,3.15
2-February-2024,264.65,281.45,264.00,276.70,276.731602325153012165,1677481,24402,464212005.00,426852,25.45,17.45,12.05
1-February-2024,259.30,270.90,258.45,265.80,266.381618422585021069,1219286,16038,324795378.00,466729,38.28,12.45,6.50
31-January-2024,254.85,260.00,252.40,259.35,255.822421145907838173,1228947,21579,314392197.00,791326,64.39,7.60,4.50
30-January-2024,254.85,256.95,251.45,254.15,253.971157204941914357,512433,9009,130143202.00,307511,60.01,5.50,-0.70
29-January-2024,246.45,255.00,245.20,253.80,251.445288213577730530,751127,8346,188867345.00,338295,45.04,9.80,7.35
25-January-2024,245.05,248.35,243.10,245.45,246.147682034980117211,6416102,17028,1579308635.00,5579877,86.97,5.25,0.40
24-January-2024,237.10,247.00,234.95,246.20,242.535880156742191354,843168,7628,204498493.00,379587,45.02,12.05,9.10
23-January-2024,240.15,246.80,236.50,237.90,242.858459465443446676,1472398,18281,357584310.00,622811,42.30,10.30,-2.25
20-January-2024,237.10,240.70,236.65,237.25,239.221630594394432739,469890,6613,112407852.00,169290,36.03,4.05,0.15
19-January-2024,234.85,236.70,232.45,235.45,233.878117289551606253,887189,15778,207494093.00,177772,20.04,4.25,0.60
18-January-2024,228.90,235.70,226.10,233.45,231.761505757730465962,669882,10035,155252861.00,116885,17.45,9.60,4.55
17-January-2024,238.90,241.20,237.90,239.10,239.564629732985496412,395971,7731,94860646.00,155863,39.36,3.30,0.20
16-January-2024,241.40,242.40,237.80,239.10,240.031413392335098619,237733,2883,57063388.00,128600,54.09,4.60,-2.30
15-January-2024,240.15,241.50,237.05,241.10,239.789338427384940552,422977,7604,101425375.00,182380,43.12,4.45,0.95
12-January-2024,242.80,242.80,239.00,239.50,239.750477236253061914,591950,9091,141920295.00,90319,15.26,3.80,-3.30
11-January-2024,242.95,243.05,239.25,241.85,241.038811222993449995,225038,3724,54242892.00,88605,39.37,3.80,-1.10
10-January-2024,241.30,242.15,238.05,239.00,240.181303970597544582,268549,3194,64500449.00,100652,37.48,4.10,-2.30
9-January-2024,242.95,244.55,241.50,242.25,243.072722139135575349,226671,4386,55097537.00,90407,39.88,3.05,-0.70
8-January-2024,241.65,245.20,240.55,242.25,242.973521654906293031,514156,7708,124926294.00,233407,45.40,4.65,0.60
5-January-2024,242.25,244.90,239.25,241.30,241.653721508846589664,743959,11498,179780461.00,173128,23.27,5.65,-0.95
4-January-2024,238.85,243.10,237.10,241.45,241.183301391245689125,382463,5015,92243689.00,133089,34.80,6.00,2.60
3-January-2024,236.40,238.65,234.70,236.95,237.082603240231492485,180913,2313,42891325.00,53634,29.65,3.95,0.55
2-January-2024,240.35,240.35,236.30,237.75,238.033471891361112456,454202,3952,108115279.00,139164,30.64,4.05,-2.60
1-January-2024,237.25,239.50,236.65,237.75,238.216323886228229525,393595,6500,93760754.00,154140,39.16,2.85,0.50
