Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,761.75,777.50,760.00,771.55,769.641662917447005512,1762589,20932,1356561929.00,1079610,61.25,17.50,9.80
20-February-2024,759.00,763.30,753.90,760.10,759.422813985285500358,261103,10158,198287575.00,66541,25.48,9.40,1.10
19-February-2024,757.05,764.90,750.00,759.10,758.572618027949382649,702842,19846,533156696.00,205705,29.27,14.90,2.05
16-February-2024,763.90,774.70,753.15,754.75,762.248735090766304422,1233883,24791,940525756.00,209310,16.96,21.55,-9.15
15-February-2024,746.70,763.90,741.70,761.60,753.990212522270297785,785800,16566,592485509.00,176123,22.41,22.20,14.90
14-February-2024,706.35,748.40,705.30,743.35,727.753768993737225932,1310761,15977,953911258.00,613463,46.80,43.10,37.00
13-February-2024,708.05,718.00,702.10,713.10,710.823754107791893957,815219,17035,579477030.00,263645,32.34,15.90,5.05
12-February-2024,726.75,726.75,704.45,707.90,713.278509368897305265,929405,17102,662924613.00,197209,21.22,22.30,-18.85
9-February-2024,703.90,728.20,694.60,724.25,714.396974501941976808,2769858,35485,1978778175.00,1244934,44.95,33.60,20.35
8-February-2024,680.10,718.80,678.40,699.40,700.248321721232199570,3541277,60279,2479773276.00,1311095,37.02,40.40,19.30
7-February-2024,654.15,677.50,654.15,675.50,669.803981009590521830,2465455,40955,1651371574.00,1220156,49.49,23.35,21.35
6-February-2024,644.35,654.95,637.80,650.90,644.699993968688879123,812427,17421,523771682.00,428023,52.68,17.15,6.55
5-February-2024,641.30,654.65,638.50,643.10,646.335815605532518177,2104792,37672,1360402454.00,967550,45.97,16.15,1.80
2-February-2024,651.35,660.30,646.60,650.40,654.247869221194801760,2299394,45134,1504373625.00,832875,36.22,13.70,-0.95
1-February-2024,643.00,652.90,633.25,647.85,645.037878817276486650,1546194,28869,997353698.00,720532,46.60,19.65,4.85
31-January-2024,627.65,643.05,621.95,640.65,634.976118184705566773,607659,10208,385848953.00,198634,32.69,21.10,13.00
30-January-2024,627.65,633.50,623.80,626.60,628.812551737248226460,578645,10128,363859239.00,309758,53.53,9.70,-1.05
29-January-2024,618.25,629.30,615.75,622.90,622.327610304449648711,1601250,42687,996502086.00,941717,58.81,13.55,4.65
25-January-2024,619.00,623.75,606.30,612.90,612.310806856677906694,1278170,28096,782637304.00,381845,29.87,17.45,-6.10
24-January-2024,610.00,622.35,603.30,618.30,614.989826331296609772,469054,10151,288463438.00,110662,23.59,19.05,8.30
23-January-2024,627.00,635.00,600.70,605.05,616.281392537032478533,1381220,40368,851220185.00,607122,43.96,34.30,-21.95
20-January-2024,629.55,634.00,624.15,631.50,629.701736624578167064,1054920,20524,664284956.00,77736,7.37,9.85,1.95
19-January-2024,634.20,635.45,624.80,627.70,628.914049889081715796,973239,22715,612083681.00,330706,33.98,10.65,-6.50
18-January-2024,625.20,633.35,619.00,628.30,626.915014125455991661,802098,19123,502847279.00,273086,34.05,14.35,3.10
17-January-2024,627.90,636.70,623.50,626.15,628.898320347461303199,546363,13243,343606773.00,176686,32.34,13.20,-1.75
16-January-2024,640.65,644.70,633.50,636.80,640.101907657409303571,952215,18718,609514638.00,555380,58.32,11.20,-3.85
15-January-2024,639.55,645.50,636.05,640.15,640.305243959121476521,1699670,42513,1088307614.00,605485,35.62,9.45,0.60
12-January-2024,624.30,636.50,621.20,633.75,630.689304861577215966,1327491,27570,837234376.00,447206,33.69,15.30,9.45
11-January-2024,625.20,627.15,618.55,620.30,622.384169075122078421,322129,7051,200487990.00,148421,46.08,8.60,-4.90
10-January-2024,625.85,625.85,618.20,621.70,622.411090387104160598,690021,17634,429476723.00,361156,52.34,7.65,-4.15
9-January-2024,632.15,634.40,624.60,625.40,630.297039315002411963,663360,15264,418113844.00,322420,48.60,9.80,-6.75
8-January-2024,641.50,645.00,625.15,627.05,631.690691037463501542,848666,17797,536094412.00,197295,23.25,19.85,-14.45
5-January-2024,645.75,651.60,638.00,641.85,644.458781254678844138,667900,15578,430434020.00,149499,22.38,13.60,-3.90
4-January-2024,644.15,646.30,639.00,642.70,642.706878856450396310,323484,6111,207905392.00,119692,37.00,7.30,-1.45
3-January-2024,639.70,648.00,636.00,643.40,643.136089369158878504,342400,6927,220209797.00,155314,45.36,12.00,3.70
2-January-2024,641.80,647.85,633.80,639.05,640.351064806262076305,860673,18128,551132872.00,427358,49.65,14.05,-2.75
1-January-2024,642.70,646.90,637.60,641.95,643.355203355078747937,794497,21304,511143779.00,168747,21.24,9.30,-0.75
