Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1540.00,1549.10,1533.00,1543.40,1542.436472394600473418,31262,2825,48219649.00,13386,42.82,16.10,3.40
20-February-2024,1530.20,1541.15,1513.00,1538.70,1523.388078590680051560,128005,2670,195001291.00,18121,14.16,28.15,8.50
19-February-2024,1510.45,1532.65,1507.55,1529.85,1521.339053075995174909,33160,2328,50447603.00,16881,50.91,25.10,19.40
16-February-2024,1511.45,1521.15,1504.90,1510.45,1511.653270921338052289,140144,8357,211849136.00,20322,14.50,16.25,-1.00
15-February-2024,1528.55,1528.55,1505.45,1510.00,1511.996520242460525331,26726,1942,40409619.00,10961,41.01,23.10,-18.55
14-February-2024,1549.55,1549.55,1508.55,1522.10,1520.034407484407484407,19240,1539,29245462.00,6181,32.13,41.00,-27.45
13-February-2024,1535.40,1551.20,1528.60,1542.00,1540.522580296507124457,55513,6302,85519030.00,29649,53.41,22.60,6.60
12-February-2024,1540.00,1554.85,1525.00,1534.55,1539.179470877768662838,97520,10521,150100782.00,62859,64.46,29.85,-5.45
9-February-2024,1502.80,1539.00,1492.80,1534.85,1525.576863474661684387,251023,16240,382954881.00,75384,30.03,46.20,32.05
8-February-2024,1511.95,1511.95,1487.00,1500.25,1498.979656621657873558,22366,1708,33526179.00,12017,53.73,24.95,-11.70
7-February-2024,1478.10,1500.00,1478.10,1496.15,1492.126330422694296016,23019,1546,34347256.00,7854,34.12,21.90,18.05
6-February-2024,1463.50,1478.00,1450.00,1474.80,1469.300727566693613581,40821,2856,59978325.00,17238,42.23,28.00,11.30
5-February-2024,1429.30,1466.45,1425.00,1463.90,1454.074210227442541618,66918,4968,97303738.00,34448,51.48,41.45,34.60
2-February-2024,1409.00,1433.05,1406.10,1417.20,1425.373233072489043407,441515,12037,629323663.00,316599,71.71,26.95,8.20
1-February-2024,1438.80,1438.80,1399.65,1406.55,1415.725191732136176580,42768,3722,60547735.00,12336,28.84,39.15,-32.25
31-January-2024,1390.35,1438.50,1367.75,1418.50,1413.748959011702484557,101346,7127,143277802.00,20358,20.09,70.75,28.15
30-January-2024,1401.00,1409.00,1369.60,1371.60,1387.222335685109543260,21544,1787,29886318.00,8812,40.90,39.40,-29.40
29-January-2024,1369.70,1421.00,1360.35,1399.25,1401.029775341287756637,46515,3439,65168900.00,14476,31.12,60.65,29.55
25-January-2024,1382.15,1389.10,1348.30,1374.85,1381.390338311571142920,3397253,12002,4692932471.00,3271608,96.30,40.80,-7.30
24-January-2024,1389.85,1390.00,1360.35,1382.25,1380.047465477954452067,80311,5156,110832992.00,39159,48.76,29.65,-7.60
23-January-2024,1319.90,1395.00,1319.60,1379.50,1375.710217712903410137,157501,17710,216675735.00,62417,39.63,75.40,59.60
20-January-2024,1343.55,1346.60,1324.10,1325.85,1334.121847414880201765,6344,557,8463669.00,2558,40.32,22.50,-17.70
19-January-2024,1341.65,1344.30,1329.30,1335.25,1335.301229012612586203,136451,11334,182203188.00,19803,14.51,15.00,-6.40
18-January-2024,1299.25,1343.60,1290.70,1335.65,1322.346009662772472409,123774,8141,163672055.00,34053,27.51,52.90,36.40
17-January-2024,1312.00,1319.00,1294.00,1299.25,1301.440199455592224122,41513,3226,54026687.00,18113,43.63,25.00,-12.75
16-January-2024,1339.95,1339.95,1307.85,1313.55,1316.812144529943124790,11956,1461,15743806.00,3875,32.41,32.10,-26.40
15-January-2024,1326.10,1339.75,1321.55,1328.65,1330.726910730973954735,24611,1999,32750520.00,12233,49.71,18.20,2.55
12-January-2024,1321.85,1329.50,1306.00,1324.85,1323.441855367815028226,205307,16521,271711877.00,29337,14.29,23.50,3.00
11-January-2024,1329.75,1332.15,1310.35,1316.70,1320.335742827638845238,22273,1630,29407838.00,8073,36.25,21.80,-13.05
10-January-2024,1331.35,1333.25,1313.55,1324.25,1321.801213830833012779,23397,1626,30926183.00,8960,38.30,19.70,-7.10
9-January-2024,1306.00,1332.95,1306.00,1322.50,1321.448355938478107225,29713,1894,39264195.00,9870,33.22,26.95,16.50
8-January-2024,1308.35,1309.75,1299.95,1305.05,1304.957505979197953167,17979,1700,23461831.00,7106,39.52,9.80,-3.30
5-January-2024,1319.35,1319.35,1287.75,1299.85,1297.298301410329712216,167904,11624,217821574.00,20912,12.45,31.60,-19.50
4-January-2024,1305.35,1328.25,1298.00,1312.65,1320.385666368515205724,89440,5102,118095294.00,61057,68.27,30.25,7.30
3-January-2024,1297.85,1304.10,1291.20,1298.10,1298.267759333487230068,47651,3390,61863757.00,16568,34.77,12.90,0.25
2-January-2024,1264.85,1298.95,1258.10,1296.40,1288.174589669963486830,84627,3991,109014351.00,15781,18.65,40.85,31.55
1-January-2024,1261.45,1263.95,1252.75,1259.90,1257.230878372478826508,45812,2417,57596261.00,32996,72.02,11.20,-1.55
