Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,926.50,937.20,916.55,921.05,927.431432852949797099,484474,18012,449316416.00,176268,36.38,20.65,-5.45
20-February-2024,935.70,935.70,921.00,926.40,926.640691796382881149,189709,6640,175792079.00,79984,42.16,14.70,-9.30
19-February-2024,945.30,945.30,931.05,932.55,934.141968354926486232,446515,19285,417108401.00,202038,45.25,14.25,-12.75
16-February-2024,925.95,948.50,925.00,938.75,940.855383084506893156,566794,14138,533271186.00,125597,22.16,23.50,12.80
15-February-2024,924.70,927.00,916.50,920.20,921.451166619178776078,442218,14291,407482292.00,188237,42.57,10.50,-4.50
14-February-2024,900.00,920.00,894.15,918.30,907.479621738591624484,524505,18736,475977599.00,206375,39.35,25.85,18.30
13-February-2024,911.00,918.55,894.00,906.90,907.452748004961269336,341848,9226,310210907.00,106725,31.22,24.55,-4.10
12-February-2024,917.00,925.00,908.15,911.25,916.186628015014680194,269070,9373,246518336.00,94721,35.20,16.85,-5.75
9-February-2024,927.70,927.70,906.05,914.95,914.796451610387845423,897703,36241,821215519.00,339556,37.82,21.65,-12.75
8-February-2024,937.70,939.75,918.70,924.45,927.555811334852223876,380102,11333,352565819.00,146920,38.65,21.05,-13.25
7-February-2024,943.55,944.55,928.25,933.55,936.089497102013230384,390616,13102,365651535.00,156794,40.14,16.30,-10.00
6-February-2024,939.00,941.00,928.40,939.45,936.990833182461658599,916894,30384,859121273.00,376555,41.07,12.60,0.45
5-February-2024,942.00,949.60,915.20,926.80,935.436120318499748233,2818087,68386,2636140370.00,880542,31.25,34.40,-15.20
2-February-2024,886.80,895.75,876.80,878.80,885.978677831441908615,741857,20274,657269484.00,192953,26.01,18.95,-8.00
1-February-2024,901.90,901.90,876.10,878.35,886.733060194221884921,1071249,34178,949911904.00,337620,31.52,25.80,-23.55
31-January-2024,866.65,896.65,865.45,884.20,882.313787043418332184,1451000,40244,1280237305.00,401651,27.68,31.20,17.55
30-January-2024,842.80,886.30,842.80,859.25,863.431142265782585568,759508,28430,655782860.00,162808,21.44,43.50,16.45
29-January-2024,813.75,843.70,811.00,840.85,830.419707682296426821,547076,13431,454302692.00,194905,35.63,32.70,27.10
25-January-2024,813.90,813.90,800.30,811.45,809.279761479951169123,532450,20533,430901009.00,169558,31.84,13.60,-2.45
24-January-2024,803.00,812.00,789.00,810.90,802.526045993907245265,375528,11551,301371001.00,97189,25.88,23.00,7.90
23-January-2024,824.00,827.70,796.30,800.40,813.250865854115813646,1093429,42566,889232081.00,660014,60.36,31.40,-23.60
20-January-2024,826.75,826.75,817.50,819.00,821.596712086206164686,164907,4655,135487049.00,70604,42.81,9.25,-7.75
19-January-2024,824.85,825.65,819.60,823.30,822.593878070874864910,663451,15049,545750731.00,138821,20.92,6.05,-1.55
18-January-2024,808.00,822.50,796.85,818.90,811.752161476152062223,930961,31024,755709604.00,399712,42.94,25.65,10.90
17-January-2024,813.80,813.80,803.40,805.55,808.384893215623919002,688022,31766,556186591.00,322129,46.82,10.40,-8.25
16-January-2024,814.75,827.00,812.75,818.90,821.236791768017014123,392615,10629,322429883.00,137445,35.01,14.25,4.15
15-January-2024,821.95,821.95,810.85,812.35,814.762645323066791621,276367,11107,225173508.00,139758,50.57,11.10,-9.60
12-January-2024,818.95,818.95,809.50,816.25,815.419900996156972661,1029657,28791,839602809.00,257930,25.05,9.45,-2.70
11-January-2024,812.55,817.40,809.00,815.85,812.943233234187708198,650222,12533,528593575.00,300603,46.23,8.40,3.30
10-January-2024,799.80,810.75,792.80,808.25,803.037199056353211367,384042,10073,308400012.00,122954,32.02,17.95,8.45
9-January-2024,799.10,809.00,793.70,799.50,801.677882215344239848,560888,12369,449651504.00,162255,28.93,15.30,0.40
8-January-2024,798.85,800.15,787.60,789.05,794.108730045414753954,693387,10093,550624670.00,464049,66.92,12.55,-9.80
5-January-2024,800.00,805.85,787.20,790.55,794.293886083599459711,908403,19536,721538949.00,242971,26.75,18.65,-9.45
4-January-2024,797.25,801.85,791.35,795.65,796.678790181485033536,652726,13368,520012960.00,243957,37.38,10.50,-1.60
3-January-2024,786.00,790.00,776.20,781.35,781.979135024621406600,652481,23818,510226528.00,256745,39.35,13.80,-4.65
2-January-2024,800.65,804.00,779.15,784.55,788.830379135793897193,604902,16330,477165074.00,202624,33.50,24.85,-16.10
1-January-2024,786.70,798.50,781.40,790.50,791.733398937217083251,1067010,33461,844787454.00,370997,34.77,17.10,3.80
