Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,141.70,146.00,141.50,143.85,144.678312527663313189,5130893,48857,742328941.00,2664833,51.94,4.50,2.15
20-February-2024,141.90,142.00,140.05,141.05,140.967132843824021796,930047,13014,131106059.00,338364,36.38,1.95,-0.85
19-February-2024,143.05,143.20,141.30,141.90,142.275151001871210768,1674317,25251,238213704.00,967983,57.81,1.90,-1.15
16-February-2024,141.95,143.45,141.45,142.35,142.642895554260112161,2434173,25010,347217485.00,1112774,45.71,2.00,0.40
15-February-2024,141.95,143.45,140.95,141.20,142.174260285708009635,1092584,14917,155337322.00,368551,33.73,2.50,-0.75
14-February-2024,136.80,141.50,135.75,141.15,138.839354402167977282,2343936,37960,325430561.00,937034,39.98,5.75,4.35
13-February-2024,137.60,138.25,134.10,137.90,136.664175847476344874,2263780,30456,309377628.00,880132,38.88,4.15,0.30
12-February-2024,142.25,142.95,136.70,137.40,139.407162184770037605,2749580,41155,383311145.00,1273030,46.30,6.25,-4.85
9-February-2024,144.45,144.45,139.10,141.30,141.292755025471819361,3563546,40470,503503232.00,1382987,38.81,5.35,-3.15
8-February-2024,146.10,146.10,143.05,143.70,144.291528417650356571,1596455,17783,230354932.00,739578,46.33,3.05,-2.40
7-February-2024,147.00,147.35,144.00,144.35,145.616152382538422254,4419509,46768,643551896.00,2132938,48.26,3.35,-2.65
6-February-2024,143.10,145.10,140.40,144.70,142.700142708133807079,2156149,24592,307682770.00,782850,36.31,4.70,1.60
5-February-2024,140.00,143.30,139.40,141.50,141.431866448006011877,8008147,66840,1132607177.00,3860502,48.21,3.90,1.50
2-February-2024,135.05,139.60,134.90,138.70,137.463258265962942794,4583616,43836,630078790.00,1892929,41.30,4.70,3.65
1-February-2024,136.80,136.80,134.50,134.80,135.969757207861621339,2605315,37795,354244048.00,1646794,63.21,2.30,-2.00
31-January-2024,135.00,136.70,134.45,135.90,135.853992110197659560,2943293,36183,399858104.00,1470975,49.98,2.25,0.90
30-January-2024,135.50,137.70,134.50,134.70,136.200840997761151357,3864933,37251,526407125.00,2259811,58.47,3.20,-0.80
29-January-2024,135.70,135.70,133.50,135.00,134.723937074508677945,2646940,19840,356606178.00,1521608,57.49,2.20,-0.70
25-January-2024,136.30,136.30,132.00,133.65,134.280020354960689692,4747737,47842,637526221.00,1168202,24.61,4.30,-2.65
24-January-2024,131.95,135.45,130.20,135.15,133.317205083914588910,4106914,40146,547522296.00,1787120,43.51,5.25,3.20
23-January-2024,135.10,135.20,129.50,130.10,132.620322792560528566,2015412,20912,267284590.00,776514,38.53,5.70,-5.00
20-January-2024,134.95,135.20,133.30,133.90,134.270238956381959256,808725,12284,108587699.00,328237,40.59,1.90,-1.05
19-January-2024,132.60,134.70,131.70,134.20,133.686803861454656516,4397203,41785,587848015.00,1874675,42.63,3.00,1.60
18-January-2024,131.85,132.25,128.10,131.05,130.257100648747853571,3377121,44368,439893990.00,1466246,43.42,4.15,-0.80
17-January-2024,136.35,136.35,131.50,131.65,133.393049303264266129,4867771,67379,649326817.00,2733192,56.15,4.85,-4.70
16-January-2024,134.65,138.50,134.05,137.25,136.376330764575323414,6566338,38549,895493083.00,3487742,53.12,4.45,2.60
15-January-2024,136.25,136.25,134.00,134.95,135.027197215963878261,3257429,35566,439841508.00,1582845,48.59,2.25,-1.30
12-January-2024,135.95,136.20,134.65,135.30,135.710692198396053315,4618358,46061,626760561.00,2349276,50.87,1.55,-0.65
11-January-2024,135.00,135.75,134.15,134.90,135.107705613541027121,3264036,24005,440996415.00,1782552,54.61,1.60,-0.10
10-January-2024,134.00,134.75,132.10,134.10,133.613496124912060608,4170486,43513,557233215.00,2489458,59.69,2.65,0.10
9-January-2024,133.50,134.70,132.50,133.65,133.909806657096313237,3338783,31130,447095786.00,1644705,49.26,2.20,0.15
8-January-2024,135.45,135.90,131.80,132.05,133.509018008364729874,3616375,38064,482818675.00,1453676,40.20,4.10,-3.40
5-January-2024,135.15,135.95,132.90,133.65,134.431732602580651014,3968146,46769,533444742.00,1705806,42.99,3.05,-1.50
4-January-2024,136.95,136.95,134.00,134.25,134.494508098219300274,1937216,20786,260544913.00,935170,48.27,2.95,-2.70
3-January-2024,139.65,139.65,134.35,135.30,136.370410982183590047,1977166,26862,269626940.00,1121135,56.70,5.30,-4.35
2-January-2024,140.50,140.50,137.05,139.55,139.101634850868514523,2589594,27926,360216759.00,1191317,46.00,3.45,-0.95
1-January-2024,142.15,142.15,139.00,139.90,140.151112519904943928,1599477,24562,224168481.00,744376,46.54,3.15,-2.25
