Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,1319.70,1322.75,1292.05,1297.25,1308.701613664244597527,21194,1989,27736622.00,8314,39.23,30.70,-22.45
20-February-2024,1317.85,1322.95,1302.30,1319.70,1312.487076797567397189,26967,1636,35393839.00,14220,52.73,20.65,1.85
19-February-2024,1303.00,1317.90,1287.60,1309.20,1305.258212854491506389,84593,4101,110415708.00,52698,62.30,30.30,6.20
16-February-2024,1303.35,1309.35,1298.00,1303.25,1302.271124265288257117,143934,8613,187441092.00,26000,18.06,11.35,-0.10
15-February-2024,1306.60,1307.70,1291.05,1300.35,1301.570254403131115459,17885,1194,23278584.00,6789,37.96,16.65,-6.25
14-February-2024,1311.30,1312.80,1282.45,1292.70,1294.641961965895941136,91602,5884,118591793.00,36261,39.59,30.35,-18.60
13-February-2024,1318.75,1335.00,1300.00,1329.30,1315.599490323025001721,14519,1361,19101189.00,6460,44.49,35.00,10.55
12-February-2024,1314.20,1330.50,1311.10,1318.10,1321.825779124412564927,64688,4941,85506266.00,37482,57.94,19.40,3.90
9-February-2024,1315.15,1321.95,1306.20,1311.75,1311.790521311330744793,181312,12083,237843363.00,32372,17.85,15.75,-3.40
8-February-2024,1330.00,1330.00,1301.90,1309.75,1311.821333118660441152,62110,4940,81477223.00,28159,45.34,28.10,-20.25
7-February-2024,1350.35,1357.25,1314.30,1319.20,1335.887353844143967600,30618,2310,40902199.00,16198,52.90,42.95,-31.15
6-February-2024,1326.85,1361.95,1326.85,1350.35,1348.668668299768041795,46129,2618,62212737.00,13186,28.58,35.10,23.50
5-February-2024,1344.15,1352.90,1328.00,1331.90,1342.778541698262642603,59343,4491,79684507.00,32379,54.56,24.90,-12.25
2-February-2024,1316.10,1353.90,1316.10,1338.65,1337.737499526568950498,132015,12153,176601416.00,14587,11.05,37.80,22.55
1-February-2024,1332.40,1336.50,1310.20,1311.95,1320.843258905743991818,29335,1995,38746937.00,9859,33.61,26.30,-20.45
31-January-2024,1319.95,1335.85,1312.50,1333.45,1322.035399023166196173,22317,1398,29503864.00,8564,38.37,23.35,13.50
30-January-2024,1322.35,1340.35,1315.00,1317.70,1326.726866422361141050,69585,4544,92320289.00,34322,49.32,25.35,-4.65
29-January-2024,1344.80,1344.80,1311.20,1314.60,1320.719899103139013452,53520,2925,70684929.00,27223,50.86,33.60,-30.20
25-January-2024,1349.65,1357.35,1312.50,1321.60,1334.345616375172964011,320876,21796,428159484.00,91409,28.49,44.85,-28.05
24-January-2024,1370.15,1410.00,1367.75,1407.75,1390.898306006964596633,55136,3235,76688569.00,16300,29.56,42.25,37.60
23-January-2024,1399.00,1416.00,1357.65,1365.60,1393.999398762716959637,63203,5083,88104944.00,18762,29.69,58.35,-33.40
20-January-2024,1404.00,1405.20,1375.75,1385.45,1392.419293529906871928,36831,4855,51284195.00,14132,38.37,29.45,-18.55
19-January-2024,1375.00,1397.25,1366.15,1389.70,1384.876263491819218366,285914,22130,395955512.00,104667,36.61,31.10,14.70
18-January-2024,1325.40,1369.20,1306.80,1355.25,1344.365868927388880927,132583,7752,178240060.00,22279,16.80,62.40,29.85
17-January-2024,1313.90,1333.95,1305.00,1326.70,1323.596744995030526764,56344,2442,74576735.00,18565,32.95,28.95,12.80
16-January-2024,1333.95,1333.95,1310.00,1319.55,1320.045729008240074455,88106,5706,116303949.00,39311,44.62,23.95,-14.40
15-January-2024,1333.70,1401.50,1333.70,1338.10,1361.088525793801096666,171611,7632,233577763.00,35893,20.92,67.80,4.40
12-January-2024,1266.15,1312.00,1266.15,1307.55,1299.911199971815107102,227072,13590,295173436.00,45913,20.22,45.85,41.40
11-January-2024,1244.90,1262.00,1242.00,1248.50,1255.214319690852553493,254377,3740,319297653.00,219971,86.47,20.00,3.60
10-January-2024,1238.90,1245.85,1230.00,1241.15,1239.828553311872012486,20502,1348,25418965.00,7222,35.23,15.85,2.25
9-January-2024,1240.00,1251.00,1232.40,1234.60,1241.871061044298980057,26276,1535,32631404.00,8728,33.22,18.60,-5.40
8-January-2024,1249.05,1253.85,1221.00,1227.05,1235.470509022353891731,63121,5141,77984134.00,26841,42.52,32.85,-22.00
5-January-2024,1253.60,1271.15,1245.05,1249.05,1254.975647762632047229,203431,13611,255300951.00,45535,22.38,26.10,-4.55
4-January-2024,1249.80,1254.60,1231.60,1247.90,1242.313697040046430644,82704,4863,102744312.00,39205,47.40,23.00,-1.90
3-January-2024,1266.30,1273.00,1240.00,1244.20,1252.244638533379453476,34692,2624,43442871.00,16941,48.83,33.00,-22.10
2-January-2024,1299.35,1299.35,1273.15,1277.90,1280.858281193541638932,52583,3636,67351371.00,23889,45.43,26.20,-21.45
1-January-2024,1270.70,1304.00,1265.20,1298.10,1286.984567663872439693,39009,2071,50203981.00,12359,31.68,38.80,27.40
