Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,3670.00,3703.50,3639.00,3653.50,3679.651110912822343178,11207,1354,41237850.00,3477,31.03,64.50,-16.50
20-February-2024,3709.90,3719.70,3668.35,3682.40,3692.906329700904242986,12939,1338,47782515.00,5094,39.37,51.35,-27.50
19-February-2024,3667.55,3709.65,3646.60,3693.30,3688.571465325024298210,34982,4743,129033607.00,21895,62.59,63.05,25.75
16-February-2024,3650.00,3690.00,3625.00,3656.60,3657.207259246486766100,23198,3692,84839894.00,8489,36.59,65.00,6.60
15-February-2024,3595.40,3630.00,3570.60,3621.70,3598.501215875200734113,21795,3441,78429334.00,11762,53.97,59.40,26.30
14-February-2024,3551.00,3595.00,3505.00,3586.55,3547.925451263537906137,11080,1543,39311014.00,4559,41.15,90.00,35.55
13-February-2024,3612.35,3612.35,3552.00,3559.25,3575.738146021328958162,12190,1438,43588248.00,4853,39.81,60.35,-53.10
12-February-2024,3612.85,3619.10,3571.05,3584.00,3585.828262509429218003,11931,1615,42782517.00,6050,50.71,48.05,-28.85
9-February-2024,3545.05,3598.40,3535.00,3590.60,3582.104506666666666666,37500,5200,134328919.00,5962,15.90,63.40,45.55
8-February-2024,3617.95,3617.95,3503.55,3549.00,3544.842673325996783204,47252,7956,167500906.00,24413,51.67,114.40,-68.95
7-February-2024,3560.15,3619.00,3557.00,3576.75,3586.990952992236689284,32718,5096,117359170.00,15438,47.18,62.00,16.60
6-February-2024,3552.60,3578.50,3532.40,3559.75,3549.737710097308226968,31652,5464,112356298.00,16001,50.55,46.10,7.15
5-February-2024,3619.40,3623.00,3538.00,3552.60,3586.973575209020480171,52148,8969,187053498.00,24361,46.72,85.00,-66.80
2-February-2024,3627.55,3712.35,3603.00,3613.75,3631.389511670761670761,65120,11448,236476085.00,12371,19.00,109.35,-13.80
1-February-2024,3734.95,3734.95,3602.05,3626.00,3650.879111872741496852,26843,3935,98000548.00,11413,42.52,132.90,-108.95
31-January-2024,3774.50,3774.50,3652.55,3697.40,3686.019442535886055969,53851,8903,198495833.00,26374,48.98,121.95,-77.10
30-January-2024,3875.10,3885.00,3716.15,3735.85,3783.267225058803281509,17431,2367,65946131.00,8926,51.21,168.85,-139.25
29-January-2024,3769.85,3875.00,3764.10,3866.05,3833.077423118593216101,11999,1468,45993096.00,5665,47.21,110.90,96.20
25-January-2024,3774.85,3800.80,3731.00,3770.20,3766.498648609469075867,310421,5986,1169200277.00,268698,86.56,69.80,-4.65
24-January-2024,3740.15,3779.60,3713.00,3765.05,3743.392304082590333176,19179,2490,71794521.00,3748,19.54,66.60,24.90
23-January-2024,3787.50,3856.95,3707.40,3737.15,3774.132577149155033063,43552,6038,164371022.00,16188,37.17,149.55,-50.35
20-January-2024,3835.00,3835.00,3780.00,3784.95,3806.820950284351495138,5451,789,20750981.00,2682,49.20,55.00,-50.05
19-January-2024,3775.60,3860.00,3743.70,3809.60,3805.935374149659863945,77322,9476,294282535.00,13177,17.04,116.30,34.00
18-January-2024,3799.95,3822.60,3720.00,3736.05,3768.357739689341189073,18670,3650,70355239.00,7790,41.72,102.60,-63.90
17-January-2024,3819.30,3854.35,3802.20,3830.00,3831.553615433359149475,14203,1755,54419556.00,5088,35.82,52.15,10.70
16-January-2024,3762.70,3857.75,3755.10,3819.30,3823.069339298004129387,29060,2723,111098395.00,10753,37.00,102.65,56.60
15-January-2024,3749.55,3775.00,3736.20,3758.75,3757.889354683526905367,14551,1771,54681048.00,7532,51.76,38.80,9.20
12-January-2024,3712.20,3735.95,3649.00,3724.20,3707.989035898895053824,105435,12565,390951824.00,21380,20.28,86.95,12.00
11-January-2024,3730.85,3741.30,3692.65,3698.85,3714.342271293375394321,10144,1431,37678288.00,4755,46.88,48.65,-32.00
10-January-2024,3706.70,3729.95,3691.00,3714.35,3709.611654400645226333,9919,1411,36795638.00,3397,34.25,38.95,7.65
9-January-2024,3715.65,3754.00,3684.00,3691.85,3724.606060606060606060,14487,1891,53958368.00,6446,44.50,70.00,-23.80
8-January-2024,3784.25,3784.25,3695.60,3705.70,3730.131155455423237850,31070,3664,115895175.00,9826,31.63,88.65,-78.55
5-January-2024,3719.50,3733.00,3689.00,3710.05,3708.878013365101521824,124653,10737,462322771.00,13987,11.22,44.00,-9.45
4-January-2024,3690.00,3727.00,3687.80,3721.25,3714.413743963264982978,12631,1715,46916760.00,3981,31.52,39.20,31.25
3-January-2024,3700.15,3710.00,3665.10,3692.60,3690.151431573417389020,7614,1131,28096813.00,3225,42.36,44.90,-7.55
2-January-2024,3690.00,3707.50,3642.20,3696.80,3673.695961057755558479,7601,1042,27923763.00,3351,44.09,65.30,6.80
1-January-2024,3698.95,3698.95,3667.60,3675.05,3678.998711814501288185,21736,2862,79966716.00,12815,58.96,31.35,-23.90
