Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,9952.25,10113.30,9921.60,9968.85,9988.609805045871559633,17440,2774,174201355.00,12586,72.17,191.70,16.60
20-February-2024,9900.35,10001.85,9863.20,9983.80,9942.468611742197775917,8363,1095,83148865.00,6615,79.10,138.65,83.45
19-February-2024,9936.95,9953.20,9890.90,9900.35,9917.534174553101997896,1902,483,18863150.00,690,36.28,62.30,-36.60
16-February-2024,9863.15,9945.00,9848.35,9915.25,9911.028829225352112676,4544,1137,45035715.00,2067,45.49,96.65,52.10
15-February-2024,9849.95,9849.95,9707.00,9815.35,9757.514539774092766161,4161,1424,40601018.00,1831,44.00,142.95,-34.60
14-February-2024,9827.70,9827.70,9710.20,9796.80,9770.798001654680837523,15713,2532,153528549.00,11742,74.73,117.50,-30.90
13-February-2024,9951.20,9994.10,9831.05,9852.35,9933.184134812988080558,7299,1317,72502311.00,4903,67.17,163.05,-98.85
12-February-2024,10077.10,10077.10,9911.00,9962.00,9965.450046869603828506,20269,3766,201989707.00,15692,77.42,166.10,-115.10
9-February-2024,10005.35,10041.80,9855.00,9946.80,9935.278799933697994364,6033,2390,59939537.00,2757,45.70,186.80,-58.55
8-February-2024,10299.95,10299.95,9952.45,9997.60,10059.989814152966404574,5596,1266,56295703.00,3126,55.86,347.50,-302.35
7-February-2024,10088.15,10282.00,10085.00,10225.05,10187.522491669751943724,10804,2628,110065993.00,6051,56.01,197.00,136.90
6-February-2024,10067.65,10075.00,9951.25,10055.50,10043.442048517520215633,7791,1750,78248457.00,5605,71.94,123.75,-12.15
5-February-2024,10094.80,10120.25,9880.60,9917.30,9994.208955223880597014,1742,595,17409912.00,898,51.55,239.65,-177.50
2-February-2024,10089.90,10163.35,9990.40,10095.55,10075.062581025338833235,8485,5349,85486906.00,2019,23.79,172.95,5.65
1-February-2024,10130.05,10226.30,9900.90,9921.50,10030.300376254180602006,4784,1946,47984957.00,2229,46.59,325.40,-208.55
31-January-2024,9972.05,10184.85,9906.00,10167.95,10062.230110595790224759,2803,761,28204431.00,1080,38.53,278.85,195.90
30-January-2024,10201.15,10321.35,9947.00,9958.50,10099.658768993046613443,7766,2023,78433950.00,3887,50.05,374.35,-242.65
29-January-2024,9960.05,10297.65,9960.05,10275.40,10186.150527253824446754,13466,3244,137166703.00,9063,67.30,337.60,315.35
25-January-2024,9989.80,10047.90,9883.65,9984.05,9962.208999262355544627,4067,1745,40516304.00,1636,40.23,164.25,-5.75
24-January-2024,9949.85,10029.00,9749.65,9993.50,9928.810234541577825159,5159,1504,51222732.00,2106,40.82,279.35,43.65
23-January-2024,10000.00,10081.00,9819.90,9833.70,9988.699955713020372010,4516,1270,45108969.00,1421,31.47,261.10,-166.30
20-January-2024,10150.05,10161.70,9902.00,9996.80,10042.086350974930362116,5744,1264,57681744.00,2173,37.83,259.70,-153.25
19-January-2024,9983.20,10132.55,9847.35,10094.50,10013.484992853739876131,16792,4462,168146440.00,4653,27.71,285.20,111.30
18-January-2024,9866.85,9930.00,9771.40,9892.70,9862.272758152173913043,2944,980,29034531.00,925,31.42,158.60,25.85
17-January-2024,9960.00,10043.20,9826.55,9850.75,9920.877196935556557007,4438,1135,44028853.00,1180,26.59,216.65,-109.25
16-January-2024,9988.85,10040.00,9877.90,9965.50,9978.314413265306122448,3136,826,31291994.00,1154,36.80,162.10,-23.35
15-January-2024,9880.00,9990.75,9823.00,9952.70,9923.695833333333333333,2400,853,23816870.00,1247,51.96,167.75,72.70
12-January-2024,9999.80,9999.80,9793.55,9807.60,9849.552554315913094539,3406,1128,33547576.00,1402,41.16,206.25,-192.20
11-January-2024,9889.85,9940.00,9726.65,9903.65,9844.785517341459875199,6891,1807,67840417.00,3281,47.61,213.35,13.80
10-January-2024,9900.00,9906.10,9730.20,9777.50,9799.888389771941948859,2894,997,28360877.00,1414,48.86,175.90,-122.50
9-January-2024,9935.15,10017.60,9870.35,9894.10,9928.056068811723478814,3139,796,31164168.00,1088,34.66,147.25,-41.05
8-January-2024,10115.85,10115.85,9924.40,9932.55,9986.311134980307912638,2793,742,27891767.00,1189,42.57,191.45,-183.30
5-January-2024,10149.80,10149.80,9994.25,10014.50,10031.081442392260334212,5685,1899,57026698.00,2731,48.04,155.55,-135.30
4-January-2024,10186.85,10186.85,10002.75,10014.80,10067.101598934043970686,3002,863,30221439.00,1064,35.44,184.10,-172.05
3-January-2024,10250.55,10250.55,10090.00,10110.75,10144.243002544529262086,4716,1125,47840250.00,1074,22.77,160.55,-139.80
2-January-2024,10488.50,10489.50,10108.05,10203.75,10224.315598822730359972,8834,2051,90321604.00,3163,35.80,381.45,-284.75
1-January-2024,10495.00,10519.30,10416.10,10461.30,10471.901507734482083414,5107,1245,53480001.00,1964,38.46,103.20,-33.70
