Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,536.00,536.00,519.50,521.15,527.444528827289412062,221214,5303,116678114.00,71008,32.10,16.50,-14.85
20-February-2024,535.30,538.20,526.20,531.80,532.725358351020505228,168201,5145,89604938.00,50174,29.83,12.00,-3.50
19-February-2024,546.10,546.10,531.25,535.25,537.447479188370337095,1046290,27896,562325923.00,630378,60.25,14.85,-10.85
16-February-2024,521.20,545.00,521.05,543.10,535.320331354856149936,769447,19443,411900623.00,292655,38.03,23.95,21.90
15-February-2024,516.15,523.00,513.15,518.25,519.099188580932826529,212837,5125,110483514.00,77861,36.58,9.85,2.10
14-February-2024,504.05,516.50,497.20,514.05,506.553239344904973346,1805967,18432,914818434.00,1262069,69.88,19.30,10.00
13-February-2024,502.05,513.15,491.65,512.15,506.690149291905252226,453541,8580,229804757.00,262564,57.89,21.50,10.10
12-February-2024,490.70,510.65,490.70,501.40,503.938419998578253654,815898,14936,411162349.00,248446,30.45,19.95,10.70
9-February-2024,489.35,494.55,482.50,490.30,488.413166620888416510,502422,16957,245389520.00,236677,47.11,12.05,0.95
8-February-2024,496.95,500.00,485.25,488.90,493.184051669551268521,165823,4578,81781259.00,44975,27.12,14.75,-8.05
7-February-2024,501.60,501.60,492.85,495.10,496.713301262163562965,136987,4117,68043265.00,52869,38.59,8.75,-6.50
6-February-2024,484.05,501.60,484.05,499.60,496.902890032983564280,428092,8160,212720152.00,159009,37.14,17.55,15.55
5-February-2024,483.00,489.20,479.30,482.30,484.285351825918902019,193519,4633,93718417.00,69250,35.78,9.90,-0.70
2-February-2024,475.00,486.35,474.50,483.00,480.962112139969752680,355734,12208,171094576.00,91794,25.80,11.85,8.00
1-February-2024,477.65,477.65,470.55,471.15,473.371844429377735121,113569,3243,53760367.00,33403,29.41,7.10,-6.50
31-January-2024,472.40,479.70,469.00,477.80,473.656112850344516234,135117,3518,63998993.00,43104,31.90,10.70,5.40
30-January-2024,474.65,482.50,471.60,472.40,478.171459438848463664,220297,4631,105339738.00,53284,24.19,10.90,-2.25
29-January-2024,469.95,476.95,469.95,472.95,473.998169077605530462,148559,3684,70416694.00,51419,34.61,7.00,3.00
25-January-2024,478.75,479.35,468.75,469.95,473.469159526097159368,279973,8838,132558581.00,46002,16.43,10.60,-8.80
24-January-2024,470.30,478.85,468.00,478.00,472.425831049015904832,534806,15991,252656169.00,339463,63.47,10.85,7.70
23-January-2024,478.70,486.00,466.85,469.90,477.781117998999902000,795922,19428,380276503.00,443204,55.68,19.15,-8.80
20-January-2024,488.50,488.60,469.20,478.10,478.976798521050871390,215288,4470,103117957.00,55234,25.66,19.40,-10.40
19-January-2024,488.00,493.20,483.60,485.00,486.545485876322390664,458450,11598,223056778.00,177751,38.77,9.60,-3.00
18-January-2024,480.60,488.65,468.50,482.25,478.764721782363658034,469848,8883,224946647.00,98345,20.93,20.15,1.65
17-January-2024,475.65,491.25,472.00,482.30,483.018565538649182564,1383962,25354,668479340.00,781109,56.44,19.25,6.65
16-January-2024,495.85,495.85,480.60,485.00,485.717358543587143982,725948,12818,352605545.00,264382,36.42,15.25,-10.85
15-January-2024,511.95,526.45,488.95,494.55,505.393048557882299108,5048305,75115,2551378254.00,1976492,39.15,37.50,-17.40
12-January-2024,454.55,469.00,454.55,465.45,465.460333010008755515,931984,19403,433801583.00,322962,34.65,14.45,10.90
11-January-2024,454.45,456.90,446.50,448.05,451.547835065389058531,431953,13794,195047442.00,204731,47.40,10.40,-6.40
10-January-2024,451.00,455.90,449.00,453.85,452.072878772130409174,404082,10669,182674513.00,194407,48.11,6.90,2.85
9-January-2024,458.00,462.70,450.00,450.75,455.924869052537091155,196071,4804,89393645.00,55637,28.38,12.70,-7.25
8-January-2024,456.95,459.90,449.05,450.10,453.692096130452294835,491582,15267,223026868.00,233131,47.42,10.85,-6.85
5-January-2024,455.55,463.00,453.50,456.75,458.242863639646251227,1024682,21500,469553214.00,318145,31.05,9.50,1.20
4-January-2024,456.75,459.70,451.55,452.55,454.980700633943339474,679556,17496,309184865.00,252230,37.12,8.15,-4.20
3-January-2024,460.30,464.00,455.00,455.90,458.667303981447058615,395409,8196,181361180.00,139434,35.26,9.00,-4.40
2-January-2024,479.85,479.85,464.20,469.15,469.587075254867100721,749214,19843,351821211.00,313199,41.80,15.65,-10.70
1-January-2024,472.25,483.40,468.20,477.30,476.807779410964124339,918450,23487,437924105.00,471442,51.33,15.20,5.05
